math,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-TEXT,2.45,2.36,0.92,1.55,3.29,1,2.3,1.59,3.22,1.61,0.13,1.69,3.07,1.96,3.29,3.42,0.6,1.86,1.08,0.56,3.4,0.41,3.43,3.51,3.07,4.38,1.33,3.16,1.27,1.28,1.24,1.55,0.77,1.41,2.59,4.27,5.72,5.06,0.6,1.41,0.58,0.52
FAST-BYTECODE,4.98,3.46,0.62,0.57,1.07,0.17,0.74,0.36,0.82,0.35,0.02,0.44,0.86,0.39,1,1.12,0.04,0.32,0.25,0.04,1.35,0.14,1.18,1.62,0.8,1.12,0.4,1.13,0.41,0.26,0.73,0.4,0.12,0.25,0.76,1.34,1.67,1.44,0.08,0.3,0.03,0.03
FAST-FILTER,0.66,0.21,0.08,0.1,0.34,0.06,0.21,0.16,0.36,0.16,0.01,0.12,0.24,0.14,0.38,0.44,0.02,0.1,0.05,0.02,0.39,0.05,0.42,0.38,0.26,0.41,0.09,0.4,0.14,0.08,0.1,0.15,0.05,0.1,0.31,0.48,0.73,0.62,0.03,0.12,0.02,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-TEXT,31750.15,7886.69,262.18,11517.84,27117.83,470.76,8989.57,2796.29,10727.33,2183.57,2.43,5256.42,16956.53,5015.47,16340.99,10328.71,5.99,2798.45,2593.57,13.01,15082.52,363.45,13711.66,31803.29,5306.23,10796.7,4362.71,11292.98,2885.59,1867.7,425.98,3972.14,205.85,779.65,10949.89,35132.63,19605.52,14128.03,106.88,1227.2,8.32,9.18
LEDRU-BYTECODE,31.19,13.07,0.68,17.01,39.56,0.86,19.59,4.5,14.88,3.8,0.03,6,26.93,5.38,25.84,24,0.06,4.89,1.87,0.08,32.25,0.79,34.12,97.96,18.27,37.63,9.35,27.26,12.62,2.93,1.6,5.45,0.47,1.22,19.32,72.74,80.82,59.75,0.23,2.59,0.03,0.03
LEDRU-FILTER,7.24,3.18,0.28,4.57,11.5,0.3,5.19,1.73,5.1,1.48,0.01,1.65,8.31,1.81,8.84,8.31,0.05,1.6,0.33,0.04,9.15,0.3,11.97,31.31,7.74,15.69,3.13,8.1,5.19,0.98,0.71,1.68,0.17,0.43,6.79,27.12,34.05,24.34,0.09,0.91,0.02,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-TEXT,5.1,2.88,0.87,2.72,4.15,6.86,7.59,5.2,2.61,3.36,2.69,3.72,3.05,4.35,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-BYTECODE,2.76,0.85,0.17,0.73,1.14,3.05,3.14,1.76,0.73,1.09,0.73,1.57,0.84,1.48,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-FILTER,1.07,0.32,0.04,0.38,0.43,0.5,1.04,0.46,0.38,0.27,0.38,0.29,0.42,0.54,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
