:,ArchiveStreamFactory_ESTest::test00,ArchiveStreamFactory_ESTest::test01,ArchiveStreamFactory_ESTest::test02,ArchiveStreamFactory_ESTest::test03,ArchiveStreamFactory_ESTest::test04,ArchiveStreamFactory_ESTest::test05,ArchiveStreamFactory_ESTest::test06,ArchiveStreamFactory_ESTest::test07,ArchiveStreamFactory_ESTest::test08,ArchiveStreamFactory_ESTest::test09,ArchiveStreamFactory_ESTest::test10,ArchiveStreamFactory_ESTest::test11,ArchiveStreamFactory_ESTest::test12,ArchiveStreamFactory_ESTest::test13,ArchiveStreamFactory_ESTest::test14,ArchiveStreamFactory_ESTest::test15,ArchiveStreamFactory_ESTest::test16,ArchiveStreamFactory_ESTest::test17,ArchiveStreamFactory_ESTest::test18,ArchiveStreamFactory_ESTest::test19,
ArchiveStreamFactory_ESTest::test00 ,0,6,5,5,6,5,7,6,5,3,1,0,2,2,2,2,1,4,0,6,
ArchiveStreamFactory_ESTest::test01 ,6,0,4,4,3,4,2,3,4,3,6,6,4,5,4,5,5,2,6,3,
ArchiveStreamFactory_ESTest::test02 ,5,4,0,2,2,3,4,3,2,6,5,5,6,6,6,6,5,3,5,3,
ArchiveStreamFactory_ESTest::test03 ,5,4,2,0,2,2,4,2,1,6,6,5,5,5,5,5,4,2,5,2,
ArchiveStreamFactory_ESTest::test04 ,6,3,2,2,0,3,3,1,2,5,7,6,4,5,5,5,5,3,6,2,
ArchiveStreamFactory_ESTest::test05 ,5,4,3,2,3,0,3,3,2,6,6,5,5,5,5,5,4,2,5,3,
ArchiveStreamFactory_ESTest::test06 ,7,2,4,4,3,3,0,3,4,4,7,7,5,6,5,6,6,4,7,3,
ArchiveStreamFactory_ESTest::test07 ,6,3,3,2,1,3,3,0,1,5,7,6,4,5,5,5,5,3,6,2,
ArchiveStreamFactory_ESTest::test08 ,5,4,2,1,2,2,4,1,0,6,6,5,5,5,5,5,4,2,5,2,
ArchiveStreamFactory_ESTest::test09 ,3,3,6,6,5,6,4,5,6,0,3,3,1,2,1,2,2,5,3,5,
ArchiveStreamFactory_ESTest::test10 ,1,6,5,6,7,6,7,7,6,3,0,1,3,3,3,3,2,5,1,6,
ArchiveStreamFactory_ESTest::test11 ,0,6,5,5,6,5,7,6,5,3,1,0,2,2,2,2,1,4,0,6,
ArchiveStreamFactory_ESTest::test12 ,2,4,6,5,4,5,5,4,5,1,3,2,0,1,1,1,1,4,2,5,
ArchiveStreamFactory_ESTest::test13 ,2,5,6,5,5,5,6,5,5,2,3,2,1,0,1,0,1,4,2,5,
ArchiveStreamFactory_ESTest::test14 ,2,4,6,5,5,5,5,5,5,1,3,2,1,1,0,1,1,4,2,4,
ArchiveStreamFactory_ESTest::test15 ,2,5,6,5,5,5,6,5,5,2,3,2,1,0,1,0,1,4,2,5,
ArchiveStreamFactory_ESTest::test16 ,1,5,5,4,5,4,6,5,4,2,2,1,1,1,1,1,0,3,1,5,
ArchiveStreamFactory_ESTest::test17 ,4,2,3,2,3,2,4,3,2,5,5,4,4,4,4,4,3,0,4,3,
ArchiveStreamFactory_ESTest::test18 ,0,6,5,5,6,5,7,6,5,3,1,0,2,2,2,2,1,4,0,6,
ArchiveStreamFactory_ESTest::test19 ,6,3,3,2,2,3,3,2,2,5,6,6,5,5,4,5,5,3,6,0,
