:,CSVParserTest::testBackslashEscaping,CSVParserTest::testBackslashEscaping2,CSVParserTest::testBackslashEscapingOld,CSVParserTest::testCSV57,CSVParserTest::testCarriageReturnEndings,CSVParserTest::testCarriageReturnLineFeedEndings,CSVParserTest::testClose,CSVParserTest::testDefaultFormat,CSVParserTest::testEmptyFile,CSVParserTest::testEmptyLineBehaviourCSV,CSVParserTest::testEmptyLineBehaviourExcel,CSVParserTest::testEndOfFileBehaviorCSV,CSVParserTest::testEndOfFileBehaviourExcel,CSVParserTest::testExcelFormat1,CSVParserTest::testExcelFormat2,CSVParserTest::testForEach,CSVParserTest::testGetHeaderMap,CSVParserTest::testGetLine,CSVParserTest::testGetLineNumberWithCR,CSVParserTest::testGetLineNumberWithCRLF,CSVParserTest::testGetLineNumberWithLF,CSVParserTest::testGetRecordNumberWithCR,CSVParserTest::testGetRecordNumberWithCRLF,CSVParserTest::testGetRecordNumberWithLF,CSVParserTest::testGetRecordWithMultiLineValues,CSVParserTest::testGetRecords,CSVParserTest::testHeader,CSVParserTest::testHeaderComment,CSVParserTest::testIgnoreEmptyLines,CSVParserTest::testInvalidFormat,CSVParserTest::testIterator,CSVParserTest::testLineFeedEndings,CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,CSVParserTest::testMultipleIterators,CSVParserTest::testNewCSVParserNullReaderFormat,CSVParserTest::testNewCSVParserReaderNullFormat,CSVParserTest::testNoHeaderMap,CSVParserTest::testParseFileNullFormat,CSVParserTest::testParseNullFileFormat,CSVParserTest::testParseNullStringFormat,CSVParserTest::testParseNullUrlCharsetFormat,CSVParserTest::testParseStringNullFormat,CSVParserTest::testParseUrlCharsetNullFormat,CSVParserTest::testParserUrlNullCharsetFormat,CSVParserTest::testProvidedHeader,CSVParserTest::testProvidedHeaderAuto,CSVParserTest::testRoundtrip,CSVParserTest::testSkipAutoHeader,CSVParserTest::testSkipSetHeader,
CSVParserTest::testBackslashEscaping ,0,72,30,117,118,118,115,59,118,91,82,73,71,57,74,85,103,116,117,118,116,117,118,116,114,114,111,110,118,116,87,118,106,112,117,116,118,117,118,118,118,118,117,117,102,111,116,116,106,
CSVParserTest::testBackslashEscaping2 ,72,0,60,47,47,47,45,36,47,26,25,32,38,41,26,17,32,45,46,47,46,46,47,46,43,43,40,40,47,46,16,47,35,41,46,45,47,46,47,47,47,47,46,46,31,40,45,45,35,
CSVParserTest::testBackslashEscapingOld ,30,60,0,101,102,102,100,49,103,71,60,53,48,37,52,70,88,99,102,103,102,102,103,102,98,94,96,96,102,101,72,102,91,97,102,101,103,102,103,103,103,103,102,102,87,96,101,101,91,
CSVParserTest::testCSV57 ,117,47,101,0,1,1,5,69,2,34,48,59,66,79,52,36,15,4,2,2,2,2,2,2,7,8,7,9,1,4,32,1,12,6,3,4,2,3,2,2,2,2,3,3,16,7,2,2,12,
CSVParserTest::testCarriageReturnEndings ,118,47,102,1,0,0,5,69,1,34,48,59,66,79,52,36,15,4,2,1,2,2,1,2,8,8,7,9,0,4,32,0,12,6,3,4,1,3,2,2,2,2,3,3,16,7,2,2,12,
CSVParserTest::testCarriageReturnLineFeedEndings ,118,47,102,1,0,0,5,69,1,34,48,59,66,79,52,36,15,4,2,1,2,2,1,2,8,8,7,9,0,4,32,0,12,6,3,4,1,3,2,2,2,2,3,3,16,7,2,2,12,
CSVParserTest::testClose ,115,45,100,5,5,5,0,67,5,33,47,57,64,78,51,35,13,4,4,5,4,4,5,4,7,8,5,5,5,4,29,5,10,5,3,3,5,3,4,4,4,4,3,3,14,5,4,3,10,
CSVParserTest::testDefaultFormat ,59,36,49,69,69,69,67,0,69,44,37,38,35,37,26,37,54,67,68,69,68,68,69,68,65,65,62,62,69,68,39,69,57,63,68,67,69,68,69,69,69,69,68,68,53,62,67,67,57,
CSVParserTest::testEmptyFile ,118,47,103,2,1,1,5,69,0,35,49,60,67,80,53,37,15,4,2,0,2,2,0,2,8,9,7,9,1,4,32,1,12,6,3,4,0,3,2,2,2,2,3,3,16,7,2,2,12,
CSVParserTest::testEmptyLineBehaviourCSV ,91,26,71,34,34,34,33,44,35,0,15,27,33,47,26,23,23,31,35,35,35,35,35,35,31,26,29,30,34,34,19,34,26,30,34,33,35,34,35,35,35,35,34,34,24,29,33,33,26,
CSVParserTest::testEmptyLineBehaviourExcel ,82,25,60,48,48,48,47,37,49,15,0,21,20,38,17,30,36,45,49,49,49,49,49,49,45,40,42,43,48,48,28,48,37,43,48,47,49,48,49,49,49,49,48,48,36,42,47,47,37,
CSVParserTest::testEndOfFileBehaviorCSV ,73,32,53,59,59,59,57,38,60,27,21,0,8,34,25,38,47,56,59,60,59,59,60,59,56,51,53,53,59,58,35,59,48,54,59,58,60,59,60,60,60,60,59,59,47,53,58,58,48,
CSVParserTest::testEndOfFileBehaviourExcel ,71,38,48,66,66,66,64,35,67,33,20,8,0,30,23,43,54,63,66,67,66,66,67,66,63,58,60,60,66,65,41,66,55,61,66,65,67,66,67,67,67,67,66,66,54,60,65,65,55,
CSVParserTest::testExcelFormat1 ,57,41,37,79,79,79,78,37,80,47,38,34,30,0,30,48,65,76,80,80,80,80,80,80,76,71,73,73,79,79,49,79,68,74,79,78,80,79,80,80,80,80,79,79,64,73,78,78,68,
CSVParserTest::testExcelFormat2 ,74,26,52,52,52,52,51,26,53,26,17,25,23,30,0,31,41,49,53,53,53,53,53,53,49,44,46,46,52,52,30,52,42,47,52,51,53,52,53,53,53,53,52,52,40,46,51,51,42,
CSVParserTest::testForEach ,85,17,70,36,36,36,35,37,37,23,30,38,43,48,31,0,22,35,37,37,37,37,37,37,33,33,30,30,36,36,6,36,25,31,35,35,37,35,36,36,36,36,35,35,21,30,35,35,25,
CSVParserTest::testGetHeaderMap ,103,32,88,15,15,15,13,54,15,23,36,47,54,65,41,22,0,13,15,15,15,15,15,15,13,12,9,10,15,14,17,15,5,9,14,13,15,14,15,15,15,15,14,14,1,9,13,13,5,
CSVParserTest::testGetLine ,116,45,99,4,4,4,4,67,4,31,45,56,63,76,49,35,13,0,4,4,4,4,4,4,8,5,6,8,4,4,30,4,11,4,4,4,4,4,4,4,4,4,4,4,14,6,4,3,11,
CSVParserTest::testGetLineNumberWithCR ,117,46,102,2,2,2,4,68,2,35,49,59,66,80,53,37,15,4,0,2,1,0,2,1,8,9,7,8,2,2,32,2,12,6,3,4,2,3,2,2,2,2,3,3,16,7,2,2,12,
CSVParserTest::testGetLineNumberWithCRLF ,118,47,103,2,1,1,5,69,0,35,49,60,67,80,53,37,15,4,2,0,2,2,0,2,8,9,7,9,1,4,32,1,12,6,3,4,0,3,2,2,2,2,3,3,16,7,2,2,12,
CSVParserTest::testGetLineNumberWithLF ,116,46,102,2,2,2,4,68,2,35,49,59,66,80,53,37,15,4,1,2,0,1,2,0,7,9,7,8,2,3,32,2,12,6,3,4,2,3,2,2,2,2,3,3,16,7,2,2,12,
CSVParserTest::testGetRecordNumberWithCR ,117,46,102,2,2,2,4,68,2,35,49,59,66,80,53,37,15,4,0,2,1,0,2,1,8,9,7,8,2,2,32,2,12,6,3,4,2,3,2,2,2,2,3,3,16,7,2,2,12,
CSVParserTest::testGetRecordNumberWithCRLF ,118,47,103,2,1,1,5,69,0,35,49,60,67,80,53,37,15,4,2,0,2,2,0,2,8,9,7,9,1,4,32,1,12,6,3,4,0,3,2,2,2,2,3,3,16,7,2,2,12,
CSVParserTest::testGetRecordNumberWithLF ,116,46,102,2,2,2,4,68,2,35,49,59,66,80,53,37,15,4,1,2,0,1,2,0,7,9,7,8,2,3,32,2,12,6,3,4,2,3,2,2,2,2,3,3,16,7,2,2,12,
