:,CSVFormatTest::testDelimiterSameAsCommentStartThrowsException,CSVFormatTest::testDelimiterSameAsEscapeThrowsException,CSVFormatTest::testDuplicateHeaderElements,CSVFormatTest::testEquals,CSVFormatTest::testEqualsCommentStart,CSVFormatTest::testEqualsDelimiter,CSVFormatTest::testEqualsEscape,CSVFormatTest::testEqualsHeader,CSVFormatTest::testEqualsIgnoreEmptyLines,CSVFormatTest::testEqualsIgnoreSurroundingSpaces,CSVFormatTest::testEqualsNullString,CSVFormatTest::testEqualsQuoteChar,CSVFormatTest::testEqualsQuotePolicy,CSVFormatTest::testEqualsRecordSeparator,CSVFormatTest::testEqualsSkipHeaderRecord,CSVFormatTest::testEscapeSameAsCommentStartThrowsException,CSVFormatTest::testEscapeSameAsCommentStartThrowsExceptionForWrapperType,CSVFormatTest::testFormat,CSVFormatTest::testGetHeader,CSVFormatTest::testNullRecordSeparatorCsv106,CSVFormatTest::testQuoteCharSameAsCommentStartThrowsException,CSVFormatTest::testQuoteCharSameAsCommentStartThrowsExceptionForWrapperType,CSVFormatTest::testQuoteCharSameAsDelimiterThrowsException,CSVFormatTest::testQuotePolicyNoneWithoutEscapeThrowsException,CSVFormatTest::testRFC4180,CSVFormatTest::testWithCommentStart,CSVFormatTest::testWithCommentStartCRThrowsException,CSVFormatTest::testWithDelimiter,CSVFormatTest::testWithDelimiterLFThrowsException,CSVFormatTest::testWithEscape,CSVFormatTest::testWithEscapeCRThrowsExceptions,CSVFormatTest::testWithHeader,CSVFormatTest::testWithIgnoreEmptyLines,CSVFormatTest::testWithIgnoreSurround,CSVFormatTest::testWithNullString,CSVFormatTest::testWithQuoteChar,CSVFormatTest::testWithQuoteLFThrowsException,CSVFormatTest::testWithQuotePolicy,CSVFormatTest::testWithRecordSeparator,
CSVFormatTest::testDelimiterSameAsCommentStartThrowsException ,0,0,7,5,5,1,7,30,9,8,10,3,2,11,12,0,2,18,16,16,0,1,0,2,5,2,3,2,3,2,3,16,4,4,4,2,3,4,2,
CSVFormatTest::testDelimiterSameAsEscapeThrowsException ,0,0,7,5,5,1,7,30,9,8,10,3,2,11,12,0,2,18,16,16,0,1,0,2,5,2,3,2,3,2,3,16,4,4,4,2,3,4,2,
CSVFormatTest::testDuplicateHeaderElements ,7,7,0,7,8,7,10,25,10,9,11,7,7,13,13,7,5,11,10,10,7,6,7,7,7,7,7,7,7,7,7,10,5,5,7,7,7,7,7,
CSVFormatTest::testEquals ,5,5,7,0,8,5,10,32,11,10,12,6,5,14,14,5,6,18,16,17,5,5,5,5,4,5,5,4,5,5,5,16,5,5,5,5,5,5,5,
CSVFormatTest::testEqualsCommentStart ,5,5,8,8,0,6,2,26,6,5,6,2,4,7,8,5,5,18,16,16,5,5,5,6,7,5,7,7,7,6,7,16,8,8,8,5,7,8,6,
CSVFormatTest::testEqualsDelimiter ,1,1,7,5,6,0,8,30,9,8,10,4,2,12,12,1,3,18,16,16,1,2,1,2,5,2,3,2,3,2,3,16,4,4,4,2,3,4,2,
CSVFormatTest::testEqualsEscape ,7,7,10,10,2,8,0,24,6,5,4,4,6,5,6,7,7,18,16,16,7,7,7,8,9,7,9,9,9,8,9,16,10,10,10,7,9,10,8,
CSVFormatTest::testEqualsHeader ,30,30,25,32,26,30,24,0,21,22,20,28,28,20,19,30,29,16,16,18,30,30,30,31,30,29,31,31,31,30,31,16,30,30,32,29,31,32,31,
CSVFormatTest::testEqualsIgnoreEmptyLines ,9,9,10,11,6,9,6,21,0,1,3,7,7,4,3,9,9,16,15,14,9,9,9,10,9,8,10,10,10,9,10,15,10,10,11,8,10,11,10,
CSVFormatTest::testEqualsIgnoreSurroundingSpaces ,8,8,9,10,5,8,5,22,1,0,4,6,6,5,4,8,8,16,15,14,8,8,8,9,8,7,9,9,9,8,9,15,9,9,10,7,9,10,9,
