:,CSVPrinter_ESTest::test00,CSVPrinter_ESTest::test01,CSVPrinter_ESTest::test02,CSVPrinter_ESTest::test03,CSVPrinter_ESTest::test04,CSVPrinter_ESTest::test05,CSVPrinter_ESTest::test06,CSVPrinter_ESTest::test08,CSVPrinter_ESTest::test11,CSVPrinter_ESTest::test12,CSVPrinter_ESTest::test13,CSVPrinter_ESTest::test14,CSVPrinter_ESTest::test16,CSVPrinter_ESTest::test17,CSVPrinter_ESTest::test18,CSVPrinter_ESTest::test19,CSVPrinter_ESTest::test20,CSVPrinter_ESTest::test22,CSVPrinter_ESTest::test23,CSVPrinter_ESTest::test24,CSVPrinter_ESTest::test25,CSVPrinter_ESTest::test26,CSVPrinter_ESTest::test27,CSVPrinter_ESTest::test28,
CSVPrinter_ESTest::test00 ,0,2,1,1,1,1,1,2,3,5,1,1,2,1,1,1,1,1,1,0,2,2,2,6,
CSVPrinter_ESTest::test01 ,2,0,3,3,3,3,3,3,3,5,3,2,2,3,3,2,3,2,3,2,3,3,3,5,
CSVPrinter_ESTest::test02 ,1,3,0,0,0,0,1,3,4,6,1,2,3,1,1,2,1,2,1,1,2,3,3,7,
CSVPrinter_ESTest::test03 ,1,3,0,0,0,0,1,3,4,6,1,2,3,1,1,2,1,2,1,1,2,3,3,7,
CSVPrinter_ESTest::test04 ,1,3,0,0,0,0,1,3,4,6,1,2,3,1,1,2,1,2,1,1,2,3,3,7,
CSVPrinter_ESTest::test05 ,1,3,0,0,0,0,1,3,4,6,1,2,3,1,1,2,1,2,1,1,2,3,3,7,
CSVPrinter_ESTest::test06 ,1,3,1,1,1,1,0,3,4,6,0,2,3,0,0,1,0,1,0,1,3,3,3,7,
CSVPrinter_ESTest::test08 ,2,3,3,3,3,3,3,0,4,4,3,2,3,3,3,2,3,2,3,2,4,4,4,6,
CSVPrinter_ESTest::test11 ,3,3,4,4,4,4,4,4,0,5,4,3,2,4,4,3,4,3,4,3,3,2,2,7,
CSVPrinter_ESTest::test12 ,5,5,6,6,6,6,6,4,5,0,6,4,6,6,6,5,6,5,6,5,5,4,4,7,
CSVPrinter_ESTest::test13 ,1,3,1,1,1,1,0,3,4,6,0,2,3,0,0,1,0,1,0,1,3,3,3,7,
CSVPrinter_ESTest::test14 ,1,2,2,2,2,2,2,2,3,4,2,0,2,2,2,1,2,1,2,1,2,2,2,6,
CSVPrinter_ESTest::test16 ,2,2,3,3,3,3,3,3,2,6,3,2,0,3,3,2,3,2,3,2,3,3,3,6,
CSVPrinter_ESTest::test17 ,1,3,1,1,1,1,0,3,4,6,0,2,3,0,0,1,0,1,0,1,3,3,3,7,
CSVPrinter_ESTest::test18 ,1,3,1,1,1,1,0,3,4,6,0,2,3,0,0,1,0,1,0,1,3,3,3,7,
CSVPrinter_ESTest::test19 ,1,2,2,2,2,2,1,2,3,5,1,1,2,1,1,0,1,0,1,1,3,3,3,6,
CSVPrinter_ESTest::test20 ,1,3,1,1,1,1,0,3,4,6,0,2,3,0,0,1,0,1,0,1,3,3,3,7,
CSVPrinter_ESTest::test22 ,1,2,2,2,2,2,1,2,3,5,1,1,2,1,1,0,1,0,1,1,3,3,3,6,
CSVPrinter_ESTest::test23 ,1,3,1,1,1,1,0,3,4,6,0,2,3,0,0,1,0,1,0,1,3,3,3,7,
CSVPrinter_ESTest::test24 ,0,2,1,1,1,1,1,2,3,5,1,1,2,1,1,1,1,1,1,0,2,2,2,6,
CSVPrinter_ESTest::test25 ,2,3,2,2,2,2,3,4,3,5,3,2,3,3,3,3,3,3,3,2,0,2,2,8,
CSVPrinter_ESTest::test26 ,2,3,3,3,3,3,3,4,2,4,3,2,3,3,3,3,3,3,3,2,2,0,0,8,
CSVPrinter_ESTest::test27 ,2,3,3,3,3,3,3,4,2,4,3,2,3,3,3,3,3,3,3,2,2,0,0,8,
CSVPrinter_ESTest::test28 ,6,5,7,7,7,7,7,6,7,7,7,6,6,7,7,6,7,6,7,6,8,8,8,0,
