:,CSVParser_ESTest::test00,CSVParser_ESTest::test01,CSVParser_ESTest::test02,CSVParser_ESTest::test03,CSVParser_ESTest::test04,CSVParser_ESTest::test05,CSVParser_ESTest::test06,CSVParser_ESTest::test07,CSVParser_ESTest::test08,CSVParser_ESTest::test09,CSVParser_ESTest::test10,CSVParser_ESTest::test11,CSVParser_ESTest::test12,CSVParser_ESTest::test13,
CSVParser_ESTest::test00 ,0,3,3,3,2,2,3,3,4,3,3,2,3,2,
CSVParser_ESTest::test01 ,3,0,2,2,2,1,2,1,3,2,1,2,4,1,
CSVParser_ESTest::test02 ,3,2,0,2,2,2,2,2,4,2,2,2,4,2,
CSVParser_ESTest::test03 ,3,2,2,0,2,2,2,2,2,2,2,2,4,2,
CSVParser_ESTest::test04 ,2,2,2,2,0,1,1,1,3,1,2,1,3,1,
CSVParser_ESTest::test05 ,2,1,2,2,1,0,2,1,3,2,2,1,3,0,
CSVParser_ESTest::test06 ,3,2,2,2,1,2,0,1,4,0,2,2,4,2,
CSVParser_ESTest::test07 ,3,1,2,2,1,1,1,0,4,1,2,2,4,1,
CSVParser_ESTest::test08 ,4,3,4,2,3,3,4,4,0,4,3,3,3,3,
CSVParser_ESTest::test09 ,3,2,2,2,1,2,0,1,4,0,2,2,4,2,
CSVParser_ESTest::test10 ,3,1,2,2,2,2,2,2,3,2,0,1,3,2,
CSVParser_ESTest::test11 ,2,2,2,2,1,1,2,2,3,2,1,0,2,1,
CSVParser_ESTest::test12 ,3,4,4,4,3,3,4,4,3,4,3,2,0,3,
CSVParser_ESTest::test13 ,2,1,2,2,1,0,2,1,3,2,2,1,3,0,
