:,CSVParser_ESTest::test00,CSVParser_ESTest::test01,CSVParser_ESTest::test02,CSVParser_ESTest::test03,CSVParser_ESTest::test04,CSVParser_ESTest::test05,CSVParser_ESTest::test06,CSVParser_ESTest::test07,CSVParser_ESTest::test08,CSVParser_ESTest::test09,CSVParser_ESTest::test10,CSVParser_ESTest::test11,CSVParser_ESTest::test12,CSVParser_ESTest::test13,CSVParser_ESTest::test14,CSVParser_ESTest::test15,
CSVParser_ESTest::test00 ,0,2,1,2,2,2,1,1,2,2,10,2,10,2,2,3,
CSVParser_ESTest::test01 ,2,0,1,1,1,1,1,2,3,1,11,2,12,1,1,2,
CSVParser_ESTest::test02 ,1,1,0,2,2,2,0,2,2,2,11,2,11,2,2,2,
CSVParser_ESTest::test03 ,2,1,2,0,2,2,2,2,3,2,10,2,11,1,2,2,
CSVParser_ESTest::test04 ,2,1,2,2,0,0,2,1,3,1,10,1,12,2,1,2,
CSVParser_ESTest::test05 ,2,1,2,2,0,0,2,1,3,1,10,1,12,2,1,2,
CSVParser_ESTest::test06 ,1,1,0,2,2,2,0,2,2,2,11,2,11,2,2,2,
CSVParser_ESTest::test07 ,1,2,2,2,1,1,2,0,3,2,9,1,11,2,2,2,
CSVParser_ESTest::test08 ,2,3,2,3,3,3,2,3,0,3,10,2,11,2,3,3,
CSVParser_ESTest::test09 ,2,1,2,2,1,1,2,2,3,0,11,2,12,2,0,3,
CSVParser_ESTest::test10 ,10,11,11,10,10,10,11,9,10,11,0,9,2,10,11,9,
CSVParser_ESTest::test11 ,2,2,2,2,1,1,2,1,2,2,9,0,11,1,2,2,
CSVParser_ESTest::test12 ,10,12,11,11,12,12,11,11,11,12,2,11,0,11,12,11,
CSVParser_ESTest::test13 ,2,1,2,1,2,2,2,2,2,2,10,1,11,0,2,2,
CSVParser_ESTest::test14 ,2,1,2,2,1,1,2,2,3,0,11,2,12,2,0,3,
CSVParser_ESTest::test15 ,3,2,2,2,2,2,2,2,3,3,9,2,11,2,3,0,
