:,CSVFormat_ESTest::test00,CSVFormat_ESTest::test01,CSVFormat_ESTest::test02,CSVFormat_ESTest::test03,CSVFormat_ESTest::test04,CSVFormat_ESTest::test05,CSVFormat_ESTest::test06,CSVFormat_ESTest::test07,CSVFormat_ESTest::test08,CSVFormat_ESTest::test09,CSVFormat_ESTest::test10,CSVFormat_ESTest::test11,CSVFormat_ESTest::test12,CSVFormat_ESTest::test13,CSVFormat_ESTest::test14,CSVFormat_ESTest::test15,CSVFormat_ESTest::test16,CSVFormat_ESTest::test17,CSVFormat_ESTest::test18,CSVFormat_ESTest::test19,CSVFormat_ESTest::test20,CSVFormat_ESTest::test21,CSVFormat_ESTest::test22,CSVFormat_ESTest::test23,CSVFormat_ESTest::test24,CSVFormat_ESTest::test25,CSVFormat_ESTest::test26,CSVFormat_ESTest::test27,CSVFormat_ESTest::test28,CSVFormat_ESTest::test29,CSVFormat_ESTest::test30,CSVFormat_ESTest::test31,CSVFormat_ESTest::test32,CSVFormat_ESTest::test33,CSVFormat_ESTest::test34,CSVFormat_ESTest::test35,CSVFormat_ESTest::test36,CSVFormat_ESTest::test37,CSVFormat_ESTest::test38,CSVFormat_ESTest::test39,CSVFormat_ESTest::test40,CSVFormat_ESTest::test41,CSVFormat_ESTest::test42,CSVFormat_ESTest::test43,CSVFormat_ESTest::test44,CSVFormat_ESTest::test45,CSVFormat_ESTest::test46,CSVFormat_ESTest::test47,CSVFormat_ESTest::test48,
CSVFormat_ESTest::test00 ,0,7,5,3,1,1,3,3,3,3,1,1,1,1,5,1,5,8,5,5,4,1,1,1,1,1,1,1,4,1,3,2,1,5,3,4,2,2,1,7,4,2,4,3,7,2,3,3,3,
CSVFormat_ESTest::test01 ,7,0,5,6,6,6,6,6,6,6,7,7,7,7,6,7,6,6,6,6,6,6,6,6,6,6,7,6,6,6,5,5,6,5,4,5,7,7,6,5,7,7,7,6,7,5,6,6,6,
CSVFormat_ESTest::test02 ,5,5,0,4,5,5,4,4,4,4,6,6,6,6,5,6,5,6,5,5,4,5,5,5,4,4,6,4,4,5,5,4,5,4,3,3,5,6,6,5,5,5,5,5,6,5,4,4,4,
CSVFormat_ESTest::test03 ,3,6,4,0,2,3,1,2,2,2,3,3,3,3,3,3,3,6,3,3,2,2,2,2,2,2,3,2,2,2,3,2,3,3,2,2,2,3,3,5,3,2,4,3,6,3,2,2,2,
CSVFormat_ESTest::test04 ,1,6,5,2,0,1,2,3,3,3,1,1,1,1,4,1,4,7,4,4,3,0,0,0,1,1,1,1,3,0,3,1,1,4,2,3,2,2,1,6,4,2,5,3,7,2,3,3,3,
CSVFormat_ESTest::test05 ,1,6,5,3,1,0,3,2,2,2,1,1,1,1,5,1,5,7,5,5,4,1,1,1,2,2,1,2,4,1,2,1,0,4,2,3,2,2,1,6,4,2,5,3,6,1,2,2,2,
CSVFormat_ESTest::test06 ,3,6,4,1,2,3,0,2,2,2,3,3,3,3,3,3,3,5,3,3,2,2,2,2,2,2,3,2,2,2,3,2,3,3,2,2,2,3,3,4,3,2,4,2,5,3,2,2,2,
CSVFormat_ESTest::test07 ,3,6,4,2,3,2,2,0,1,1,3,3,3,3,4,3,4,6,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,5,3,2,4,3,5,2,0,1,0,
CSVFormat_ESTest::test08 ,3,6,4,2,3,2,2,1,0,1,3,3,3,3,4,3,4,6,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,5,3,2,4,3,5,2,1,0,1,
CSVFormat_ESTest::test09 ,3,6,4,2,3,2,2,1,1,0,3,3,3,3,4,3,4,6,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,5,3,2,4,3,5,2,1,1,1,
CSVFormat_ESTest::test10 ,1,7,6,3,1,1,3,3,3,3,0,1,0,0,5,0,5,8,5,5,4,1,1,1,2,2,0,2,4,1,3,2,1,5,3,4,2,2,1,7,4,2,5,3,7,2,3,3,3,
CSVFormat_ESTest::test11 ,1,7,6,3,1,1,3,3,3,3,1,0,1,1,5,1,5,7,5,5,4,1,1,1,2,2,1,2,4,1,3,2,1,5,3,4,2,2,1,7,4,2,5,3,6,2,3,3,3,
CSVFormat_ESTest::test12 ,1,7,6,3,1,1,3,3,3,3,0,1,0,0,5,0,5,8,5,5,4,1,1,1,2,2,0,2,4,1,3,2,1,5,3,4,2,2,1,7,4,2,5,3,7,2,3,3,3,
CSVFormat_ESTest::test13 ,1,7,6,3,1,1,3,3,3,3,0,1,0,0,5,0,5,8,5,5,4,1,1,1,2,2,0,2,4,1,3,2,1,5,3,4,2,2,1,7,4,2,5,3,7,2,3,3,3,
CSVFormat_ESTest::test14 ,5,6,5,3,4,5,3,4,4,4,5,5,5,5,0,5,1,4,1,1,2,4,4,4,4,4,5,4,3,4,5,4,5,2,4,3,4,5,5,3,4,4,4,5,6,5,4,4,4,
CSVFormat_ESTest::test15 ,1,7,6,3,1,1,3,3,3,3,0,1,0,0,5,0,5,8,5,5,4,1,1,1,2,2,0,2,4,1,3,2,1,5,3,4,2,2,1,7,4,2,5,3,7,2,3,3,3,
CSVFormat_ESTest::test16 ,5,6,5,3,4,5,3,4,4,4,5,5,5,5,1,5,0,4,1,1,2,4,4,4,4,4,5,4,3,4,5,4,5,2,4,3,4,5,5,3,4,4,4,5,6,5,4,4,4,
CSVFormat_ESTest::test17 ,8,6,6,6,7,7,5,6,6,6,8,7,8,8,4,8,4,0,4,4,5,7,7,7,7,7,8,7,6,7,6,6,7,4,6,5,7,8,8,1,7,7,7,5,5,7,6,6,6,
CSVFormat_ESTest::test18 ,5,6,5,3,4,5,3,4,4,4,5,5,5,5,1,5,1,4,0,1,2,4,4,4,4,4,5,4,3,4,5,4,5,2,4,3,4,5,5,3,4,4,4,5,6,5,4,4,4,
CSVFormat_ESTest::test19 ,5,6,5,3,4,5,3,4,4,4,5,5,5,5,1,5,1,4,1,0,2,4,4,4,4,4,5,4,3,4,5,4,5,2,4,3,4,5,5,3,4,4,4,5,6,5,4,4,4,
CSVFormat_ESTest::test20 ,4,6,4,2,3,4,2,3,3,3,4,4,4,4,2,4,2,5,2,2,0,3,3,3,3,3,4,3,2,3,4,3,4,2,3,2,3,4,4,4,3,3,4,4,6,4,3,3,3,
CSVFormat_ESTest::test21 ,1,6,5,2,0,1,2,3,3,3,1,1,1,1,4,1,4,7,4,4,3,0,0,0,1,1,1,1,3,0,3,1,1,4,2,3,2,2,1,6,4,2,5,3,7,2,3,3,3,
CSVFormat_ESTest::test22 ,1,6,5,2,0,1,2,3,3,3,1,1,1,1,4,1,4,7,4,4,3,0,0,0,1,1,1,1,3,0,3,1,1,4,2,3,2,2,1,6,4,2,5,3,7,2,3,3,3,
CSVFormat_ESTest::test23 ,1,6,5,2,0,1,2,3,3,3,1,1,1,1,4,1,4,7,4,4,3,0,0,0,1,1,1,1,3,0,3,1,1,4,2,3,2,2,1,6,4,2,5,3,7,2,3,3,3,
CSVFormat_ESTest::test24 ,1,6,4,2,1,2,2,3,3,3,2,2,2,2,4,2,4,7,4,4,3,1,1,1,0,0,2,0,3,1,3,1,2,4,2,3,2,2,2,6,4,2,4,3,7,2,3,3,3,
CSVFormat_ESTest::test25 ,1,6,4,2,1,2,2,3,3,3,2,2,2,2,4,2,4,7,4,4,3,1,1,1,0,0,2,0,3,1,3,1,2,4,2,3,2,2,2,6,4,2,4,3,7,2,3,3,3,
CSVFormat_ESTest::test26 ,1,7,6,3,1,1,3,3,3,3,0,1,0,0,5,0,5,8,5,5,4,1,1,1,2,2,0,2,4,1,3,2,1,5,3,4,2,2,1,7,4,2,5,3,7,2,3,3,3,
CSVFormat_ESTest::test27 ,1,6,4,2,1,2,2,3,3,3,2,2,2,2,4,2,4,7,4,4,3,1,1,1,0,0,2,0,3,1,3,1,2,4,2,3,2,2,2,6,4,2,4,3,7,2,3,3,3,
CSVFormat_ESTest::test28 ,4,6,4,2,3,4,2,3,3,3,4,4,4,4,3,4,3,6,3,3,2,3,3,3,3,3,4,3,0,3,4,3,4,3,3,2,3,4,3,5,3,3,4,4,6,4,3,3,3,
CSVFormat_ESTest::test29 ,1,6,5,2,0,1,2,3,3,3,1,1,1,1,4,1,4,7,4,4,3,0,0,0,1,1,1,1,3,0,3,1,1,4,2,3,2,2,1,6,4,2,5,3,7,2,3,3,3,
CSVFormat_ESTest::test30 ,3,5,5,3,3,2,3,3,3,3,3,3,3,3,5,3,5,6,5,5,4,3,3,3,3,3,3,3,4,3,0,2,2,4,2,3,3,3,3,5,4,3,5,2,6,2,3,3,3,
CSVFormat_ESTest::test31 ,2,5,4,2,1,1,2,3,3,3,2,2,2,2,4,2,4,6,4,4,3,1,1,1,1,1,2,1,3,1,2,0,1,3,1,2,2,2,2,5,4,2,5,3,7,2,3,3,3,
CSVFormat_ESTest::test32 ,1,6,5,3,1,0,3,2,2,2,1,1,1,1,5,1,5,7,5,5,4,1,1,1,2,2,1,2,4,1,2,1,0,4,2,3,2,2,1,6,4,2,5,3,6,1,2,2,2,
CSVFormat_ESTest::test33 ,5,5,4,3,4,4,3,3,3,3,5,5,5,5,2,5,2,4,2,2,2,4,4,4,4,4,5,4,3,4,4,3,4,0,3,2,4,5,5,3,4,4,4,5,6,4,3,3,3,
CSVFormat_ESTest::test34 ,3,4,3,2,2,2,2,3,3,3,3,3,3,3,4,3,4,6,4,4,3,2,2,2,2,2,3,2,3,2,2,1,2,3,0,2,3,3,3,5,4,3,5,3,7,2,3,3,3,
CSVFormat_ESTest::test35 ,4,5,3,2,3,3,2,2,2,2,4,4,4,4,3,4,3,5,3,3,2,3,3,3,3,3,4,3,2,3,3,2,3,2,2,0,3,4,4,4,3,3,4,4,6,3,2,2,2,
CSVFormat_ESTest::test36 ,2,7,5,2,2,2,2,2,2,2,2,2,2,2,4,2,4,7,4,4,3,2,2,2,2,2,2,2,3,2,3,2,2,4,3,3,0,2,2,6,3,1,4,2,6,2,2,2,2,
CSVFormat_ESTest::test37 ,2,7,6,3,2,2,3,3,3,3,2,2,2,2,5,2,5,8,5,5,4,2,2,2,2,2,2,2,4,2,3,2,2,5,3,4,2,0,2,7,4,2,5,3,7,2,3,3,3,
CSVFormat_ESTest::test38 ,1,6,6,3,1,1,3,3,3,3,1,1,1,1,5,1,5,8,5,5,4,1,1,1,2,2,1,2,3,1,3,2,1,5,3,4,2,2,0,7,4,2,5,3,7,2,3,3,3,
CSVFormat_ESTest::test39 ,7,5,5,5,6,6,4,5,5,5,7,7,7,7,3,7,3,1,3,3,4,6,6,6,6,6,7,6,5,6,5,5,6,3,5,4,6,7,7,0,6,6,6,4,4,6,5,5,5,
CSVFormat_ESTest::test40 ,4,7,5,3,4,4,3,3,3,3,4,4,4,4,4,4,4,7,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,6,0,3,3,3,5,4,3,3,3,
