:,ParserTest::commentBeforeHtml,ParserTest::createsDocumentStructure,ParserTest::createsStructureFromBodySnippet,ParserTest::discardsNakedTds,ParserTest::doesNotCreateImplicitLists,ParserTest::dropsUnterminatedAttribute,ParserTest::dropsUnterminatedTag,ParserTest::emptyTdTag,ParserTest::findsCharsetInMalformedMeta,ParserTest::handlesBaseTags,ParserTest::handlesBaseWithoutHref,ParserTest::handlesBlocksInDefinitions,ParserTest::handlesCdata,ParserTest::handlesDataOnlyTags,ParserTest::handlesEscapedData,ParserTest::handlesFrames,ParserTest::handlesImplicitCaptionClose,ParserTest::handlesInvalidStartTags,ParserTest::handlesJavadocFont,ParserTest::handlesKnownEmptyBlocks,ParserTest::handlesMisnestedTagsBI,ParserTest::handlesMisnestedTagsBP,ParserTest::handlesMultiClosingBody,ParserTest::handlesNestedImplicitTable,ParserTest::handlesSolidusAtAttributeEnd,ParserTest::handlesSolidusInA,ParserTest::handlesSpanInTbody,ParserTest::handlesTbodyTable,ParserTest::handlesTextAfterData,ParserTest::handlesTextArea,ParserTest::handlesUnclosedDefinitionLists,ParserTest::handlesUnclosedFormattingElements,ParserTest::handlesUnclosedTitle,ParserTest::handlesUnclosedTitleAtEof,ParserTest::handlesUnexpectedMarkupInTables,ParserTest::handlesUnknownInlineTags,ParserTest::handlesUnknownNamespaceTags,ParserTest::handlesUnknownTags,ParserTest::handlesWhatWgExpensesTableExample,ParserTest::ignoresDupeEndTrTag,ParserTest::noImplicitFormForTextAreas,ParserTest::noTableDirectInTable,ParserTest::normalisedBodyAfterContent,ParserTest::normalisesDocument,ParserTest::normalisesEmptyDocument,ParserTest::normalisesHeadlessBody,ParserTest::parsesBodyFragment,ParserTest::parsesComments,ParserTest::parsesQuiteRoughAttributes,ParserTest::parsesRoughAttributes,ParserTest::parsesSimpleDocument,ParserTest::parsesUnterminatedComments,ParserTest::parsesUnterminatedOption,ParserTest::parsesUnterminatedTextarea,ParserTest::reconstructFormattingElements,ParserTest::reconstructFormattingElementsInTable,ParserTest::testAFlowContents,ParserTest::testFontFlowContents,ParserTest::testHeaderContents,ParserTest::testHgroup,ParserTest::testNoImagesInNoScriptInHead,ParserTest::testRelaxedTags,ParserTest::testSpaceAfterTag,ParserTest::testSpanContents,TreeBuilderState_ESTest::notGeneratedAnyTest,
ParserTest::commentBeforeHtml ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::createsDocumentStructure ,11,0,11,11,7,11,9,11,11,8,11,11,8,9,10,11,11,11,8,10,11,11,9,11,11,11,8,11,11,11,8,10,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,10,11,10,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,
ParserTest::createsStructureFromBodySnippet ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::discardsNakedTds ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::doesNotCreateImplicitLists ,12,7,12,12,0,12,10,12,12,11,12,12,8,11,11,12,12,12,11,11,12,12,10,12,12,12,8,12,12,12,8,11,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,11,12,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,
ParserTest::dropsUnterminatedAttribute ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::dropsUnterminatedTag ,2,9,2,2,10,2,0,2,2,7,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,
ParserTest::emptyTdTag ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::findsCharsetInMalformedMeta ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesBaseTags ,7,8,7,7,11,7,7,7,7,0,7,7,7,5,6,7,7,7,5,5,7,7,6,7,7,7,6,7,7,7,6,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,5,7,6,5,4,6,6,7,7,7,7,7,7,7,7,7,7,7,
ParserTest::handlesBaseWithoutHref ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesBlocksInDefinitions ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesCdata ,4,8,4,4,8,4,2,4,4,7,4,4,0,4,4,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,
ParserTest::handlesDataOnlyTags ,2,9,2,2,11,2,2,2,2,5,2,2,4,0,1,2,2,2,1,1,2,2,2,2,2,2,4,2,2,2,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,
ParserTest::handlesEscapedData ,1,10,1,1,11,1,2,1,1,6,1,1,4,1,0,1,1,1,2,1,1,1,2,1,1,1,4,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,
ParserTest::handlesFrames ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesImplicitCaptionClose ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesInvalidStartTags ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesJavadocFont ,3,8,3,3,11,3,3,3,3,5,3,3,4,1,2,3,3,3,0,2,3,3,3,3,3,3,4,3,3,3,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,
ParserTest::handlesKnownEmptyBlocks ,2,10,2,2,11,2,2,2,2,5,2,2,4,1,1,2,2,2,2,0,2,2,2,2,2,2,4,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,
ParserTest::handlesMisnestedTagsBI ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesMisnestedTagsBP ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesMultiClosingBody ,2,9,2,2,10,2,1,2,2,6,2,2,2,2,2,2,2,2,3,2,2,2,0,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,
ParserTest::handlesNestedImplicitTable ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesSolidusAtAttributeEnd ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesSolidusInA ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesSpanInTbody ,4,8,4,4,8,4,2,4,4,6,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,0,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,
ParserTest::handlesTbodyTable ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesTextAfterData ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesTextArea ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesUnclosedDefinitionLists ,5,8,5,5,8,5,3,5,5,6,5,5,2,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,5,0,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,
ParserTest::handlesUnclosedFormattingElements ,2,10,2,2,11,2,2,2,2,6,2,2,4,1,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
ParserTest::handlesUnclosedTitle ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesUnclosedTitleAtEof ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesUnexpectedMarkupInTables ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesUnknownInlineTags ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesUnknownNamespaceTags ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
ParserTest::handlesUnknownTags ,1,10,1,1,11,1,1,1,1,6,1,1,3,2,1,1,1,1,3,2,1,1,1,1,1,1,3,1,1,1,4,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,2,3,0,1,1,1,1,1,1,1,1,1,1,1,1,
ParserTest::handlesWhatWgExpensesTableExample ,0,11,0,0,12,0,2,0,0,7,0,0,4,2,1,0,0,0,3,2,0,0,2,0,0,0,4,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,
