:,CleanerTest::basicBehaviourTest,CleanerTest::basicWithImagesTest,CleanerTest::dropsUnresolvableRelativeLinks,CleanerTest::handlesCustomProtocols,CleanerTest::preservesRelatedLinksIfConfigured,CleanerTest::resolvesRelativeLinks,CleanerTest::simpleBehaviourTest,CleanerTest::simpleBehaviourTest2,CleanerTest::testCleanJavascriptHref,CleanerTest::testDropComments,CleanerTest::testDropImageScript,CleanerTest::testDropScript,CleanerTest::testDropXmlProc,CleanerTest::testDropsUnknownTags,CleanerTest::testHandlesEmptyAttributes,CleanerTest::testIsValid,CleanerTest::testRelaxed,
CleanerTest::basicBehaviourTest ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
CleanerTest::basicWithImagesTest ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
CleanerTest::dropsUnresolvableRelativeLinks ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
CleanerTest::handlesCustomProtocols ,7,7,7,0,6,7,7,7,7,7,7,7,7,7,7,7,7,
CleanerTest::preservesRelatedLinksIfConfigured ,1,1,1,6,0,1,1,1,1,1,1,1,1,1,1,1,1,
CleanerTest::resolvesRelativeLinks ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
CleanerTest::simpleBehaviourTest ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
CleanerTest::simpleBehaviourTest2 ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
CleanerTest::testCleanJavascriptHref ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
CleanerTest::testDropComments ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
CleanerTest::testDropImageScript ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
CleanerTest::testDropScript ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
CleanerTest::testDropXmlProc ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
CleanerTest::testDropsUnknownTags ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
CleanerTest::testHandlesEmptyAttributes ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
CleanerTest::testIsValid ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
CleanerTest::testRelaxed ,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,
