:,CleanerTest::addsTagOnAttributesIfNotSet,CleanerTest::basicBehaviourTest,CleanerTest::basicWithImagesTest,CleanerTest::cleansInternationalText,CleanerTest::dropsUnresolvableRelativeLinks,CleanerTest::handlesAllPseudoTag,CleanerTest::handlesCustomProtocols,CleanerTest::handlesFramesets,CleanerTest::preservesRelativeLinksIfConfigured,CleanerTest::resolvesRelativeLinks,CleanerTest::simpleBehaviourTest,CleanerTest::simpleBehaviourTest2,CleanerTest::supplyOutputSettings,CleanerTest::testCleanJavascriptHref,CleanerTest::testDropComments,CleanerTest::testDropImageScript,CleanerTest::testDropScript,CleanerTest::testDropXmlProc,CleanerTest::testDropsUnknownTags,CleanerTest::testHandlesEmptyAttributes,CleanerTest::testIsValid,CleanerTest::testRelaxed,
CleanerTest::addsTagOnAttributesIfNotSet ,0,5,5,5,5,11,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,
CleanerTest::basicBehaviourTest ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::basicWithImagesTest ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::cleansInternationalText ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::dropsUnresolvableRelativeLinks ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::handlesAllPseudoTag ,11,16,16,16,16,0,9,13,15,16,16,16,14,16,16,16,16,16,16,16,16,16,
CleanerTest::handlesCustomProtocols ,4,7,7,7,7,9,0,6,6,7,7,7,5,7,7,7,7,7,7,7,7,7,
CleanerTest::handlesFramesets ,3,5,5,5,5,13,6,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,
CleanerTest::preservesRelativeLinksIfConfigured ,4,1,1,1,1,15,6,4,0,1,1,1,6,1,1,1,1,1,1,1,1,1,
CleanerTest::resolvesRelativeLinks ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::simpleBehaviourTest ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::simpleBehaviourTest2 ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::supplyOutputSettings ,5,6,6,6,6,14,5,5,6,6,6,6,0,6,6,6,6,6,6,6,6,6,
CleanerTest::testCleanJavascriptHref ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::testDropComments ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::testDropImageScript ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::testDropScript ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::testDropXmlProc ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::testDropsUnknownTags ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::testHandlesEmptyAttributes ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::testIsValid ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
CleanerTest::testRelaxed ,5,0,0,0,0,16,7,5,1,0,0,0,6,0,0,0,0,0,0,0,0,0,
