:,DataUtilTest::discardsSpuriousByteOrderMark,DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString,DataUtilTest::shouldNotThrowExceptionOnEmptyCharset,DataUtilTest::shouldReturnNullForIllegalCharsetNames,DataUtilTest::shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags,DataUtilTest::testCharset,DataUtilTest::testQuotedCharset,ParseTest::testBaidu,ParseTest::testBaiduVariant,ParseTest::testBinary,ParseTest::testBrokenHtml5CharsetWithASingleDoubleQuote,ParseTest::testGoogleSearchIpod,ParseTest::testHtml5Charset,ParseTest::testNewsHomepage,ParseTest::testNytArticle,ParseTest::testSmhBizArticle,ParseTest::testYahooArticle,ParseTest::testYahooJp,
DataUtilTest::discardsSpuriousByteOrderMark ,0,0,2,1,0,4,1,2,1,0,1,3,3,0,1,1,0,0,
DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString ,0,0,2,1,0,4,1,2,1,0,1,3,3,0,1,1,0,0,
DataUtilTest::shouldNotThrowExceptionOnEmptyCharset ,2,2,0,1,2,2,1,1,1,2,1,3,1,2,1,2,2,2,
DataUtilTest::shouldReturnNullForIllegalCharsetNames ,1,1,1,0,1,3,0,1,0,1,0,3,2,1,0,1,1,1,
DataUtilTest::shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags ,0,0,2,1,0,4,1,2,1,0,1,3,3,0,1,1,0,0,
DataUtilTest::testCharset ,4,4,2,3,4,0,3,3,3,4,3,4,1,4,3,4,4,4,
DataUtilTest::testQuotedCharset ,1,1,1,0,1,3,0,1,0,1,0,3,2,1,0,1,1,1,
ParseTest::testBaidu ,2,2,1,1,2,3,1,0,1,2,1,3,2,2,1,2,2,2,
ParseTest::testBaiduVariant ,1,1,1,0,1,3,0,1,0,1,0,3,2,1,0,1,1,1,
ParseTest::testBinary ,0,0,2,1,0,4,1,2,1,0,1,3,3,0,1,1,0,0,
ParseTest::testBrokenHtml5CharsetWithASingleDoubleQuote ,1,1,1,0,1,3,0,1,0,1,0,3,2,1,0,1,1,1,
ParseTest::testGoogleSearchIpod ,3,3,3,3,3,4,3,3,3,3,3,0,3,3,3,2,3,3,
ParseTest::testHtml5Charset ,3,3,1,2,3,1,2,2,2,3,2,3,0,3,2,3,3,3,
ParseTest::testNewsHomepage ,0,0,2,1,0,4,1,2,1,0,1,3,3,0,1,1,0,0,
ParseTest::testNytArticle ,1,1,1,0,1,3,0,1,0,1,0,3,2,1,0,1,1,1,
ParseTest::testSmhBizArticle ,1,1,2,1,1,4,1,2,1,1,1,2,3,1,1,0,1,1,
ParseTest::testYahooArticle ,0,0,2,1,0,4,1,2,1,0,1,3,3,0,1,1,0,0,
ParseTest::testYahooJp ,0,0,2,1,0,4,1,2,1,0,1,3,3,0,1,1,0,0,
