:,DataUtil_ESTest::test00,DataUtil_ESTest::test01,DataUtil_ESTest::test02,DataUtil_ESTest::test03,DataUtil_ESTest::test04,DataUtil_ESTest::test05,DataUtil_ESTest::test06,DataUtil_ESTest::test07,DataUtil_ESTest::test08,DataUtil_ESTest::test09,DataUtil_ESTest::test10,DataUtil_ESTest::test11,
DataUtil_ESTest::test00 ,0,0,1,1,2,2,3,9,8,2,1,2,
DataUtil_ESTest::test01 ,0,0,1,1,2,2,3,9,8,2,1,2,
DataUtil_ESTest::test02 ,1,1,0,1,1,2,2,8,7,2,2,2,
DataUtil_ESTest::test03 ,1,1,1,0,2,1,3,9,8,1,1,1,
DataUtil_ESTest::test04 ,2,2,1,2,0,3,3,8,7,3,2,3,
DataUtil_ESTest::test05 ,2,2,2,1,3,0,4,9,8,0,1,0,
DataUtil_ESTest::test06 ,3,3,2,3,3,4,0,7,6,4,4,4,
DataUtil_ESTest::test07 ,9,9,8,9,8,9,7,0,5,9,9,9,
DataUtil_ESTest::test08 ,8,8,7,8,7,8,6,5,0,8,8,8,
DataUtil_ESTest::test09 ,2,2,2,1,3,0,4,9,8,0,1,0,
DataUtil_ESTest::test10 ,1,1,2,1,2,1,4,9,8,1,0,1,
DataUtil_ESTest::test11 ,2,2,2,1,3,0,4,9,8,0,1,0,
