:,RegressionTest0::test01,RegressionTest0::test02,RegressionTest0::test03,RegressionTest0::test04,RegressionTest0::test05,RegressionTest0::test06,RegressionTest0::test07,RegressionTest0::test08,RegressionTest0::test09,RegressionTest0::test10,RegressionTest0::test11,RegressionTest0::test12,RegressionTest0::test13,RegressionTest0::test14,RegressionTest0::test15,RegressionTest0::test16,RegressionTest0::test17,RegressionTest0::test18,RegressionTest0::test19,RegressionTest0::test20,RegressionTest0::test21,RegressionTest0::test22,RegressionTest0::test23,RegressionTest0::test24,RegressionTest0::test25,RegressionTest0::test26,RegressionTest0::test27,RegressionTest0::test28,RegressionTest0::test29,RegressionTest0::test30,RegressionTest0::test31,RegressionTest0::test32,RegressionTest0::test33,RegressionTest0::test34,RegressionTest0::test35,RegressionTest0::test36,RegressionTest0::test37,RegressionTest0::test38,RegressionTest0::test39,RegressionTest0::test40,RegressionTest0::test41,RegressionTest0::test42,RegressionTest0::test43,RegressionTest0::test44,RegressionTest0::test45,RegressionTest0::test46,RegressionTest0::test47,RegressionTest0::test48,RegressionTest0::test49,RegressionTest0::test50,RegressionTest0::test51,RegressionTest0::test52,RegressionTest0::test53,RegressionTest0::test54,RegressionTest0::test55,RegressionTest0::test56,RegressionTest0::test57,RegressionTest0::test58,RegressionTest0::test59,RegressionTest0::test60,RegressionTest0::test61,RegressionTest0::test62,RegressionTest0::test63,RegressionTest0::test64,RegressionTest0::test65,RegressionTest0::test66,RegressionTest0::test67,RegressionTest0::test68,RegressionTest0::test69,RegressionTest0::test70,RegressionTest0::test71,RegressionTest0::test72,RegressionTest0::test73,RegressionTest0::test74,RegressionTest0::test75,RegressionTest0::test76,RegressionTest0::test77,RegressionTest0::test78,RegressionTest0::test79,RegressionTest0::test80,RegressionTest0::test81,RegressionTest0::test82,RegressionTest0::test83,RegressionTest0::test84,RegressionTest0::test85,RegressionTest0::test86,
RegressionTest0::test01 ,0,2,0,2,1,0,2,0,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,0,1,0,1,1,1,1,1,0,3,1,2,9,1,1,3,1,78,78,2,1,1,1,1,1,1,8,1,3,1,1,7,78,1,0,1,2,1,7,2,2,2,2,1,7,1,1,2,2,1,0,1,2,2,1,1,19,2,2,2,
RegressionTest0::test02 ,2,0,2,3,1,2,0,2,1,1,1,3,0,1,1,1,3,1,3,3,3,1,0,1,0,1,2,1,2,1,1,1,1,1,2,4,1,0,10,2,2,4,2,79,79,0,1,1,1,1,1,2,9,1,4,1,1,8,79,2,2,1,0,1,8,0,0,3,0,1,8,1,1,0,3,2,2,1,3,3,1,1,20,0,3,3,
RegressionTest0::test03 ,0,2,0,2,1,0,2,0,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,0,1,0,1,1,1,1,1,0,3,1,2,9,1,1,3,1,78,78,2,1,1,1,1,1,1,8,1,3,1,1,7,78,1,0,1,2,1,7,2,2,2,2,1,7,1,1,2,2,1,0,1,2,2,1,1,19,2,2,2,
RegressionTest0::test04 ,2,3,2,0,2,2,3,2,2,2,2,1,3,2,2,2,1,2,1,1,1,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,7,2,2,2,2,77,77,3,2,2,2,2,2,2,7,2,2,2,2,6,77,2,2,2,3,2,6,3,3,1,3,2,6,2,2,3,1,2,2,2,1,1,2,2,17,3,1,1,
RegressionTest0::test05 ,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test06 ,0,2,0,2,1,0,2,0,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,0,1,0,1,1,1,1,1,0,3,1,2,9,1,1,3,1,78,78,2,1,1,1,1,1,1,8,1,3,1,1,7,78,1,0,1,2,1,7,2,2,2,2,1,7,1,1,2,2,1,0,1,2,2,1,1,19,2,2,2,
RegressionTest0::test07 ,2,0,2,3,1,2,0,2,1,1,1,3,0,1,1,1,3,1,3,3,3,1,0,1,0,1,2,1,2,1,1,1,1,1,2,4,1,0,10,2,2,4,2,79,79,0,1,1,1,1,1,2,9,1,4,1,1,8,79,2,2,1,0,1,8,0,0,3,0,1,8,1,1,0,3,2,2,1,3,3,1,1,20,0,3,3,
RegressionTest0::test08 ,0,2,0,2,1,0,2,0,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,0,1,0,1,1,1,1,1,0,3,1,2,9,1,1,3,1,78,78,2,1,1,1,1,1,1,8,1,3,1,1,7,78,1,0,1,2,1,7,2,2,2,2,1,7,1,1,2,2,1,0,1,2,2,1,1,19,2,2,2,
RegressionTest0::test09 ,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test10 ,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test11 ,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test12 ,2,3,2,1,2,2,3,2,2,2,2,0,3,2,2,2,0,2,0,1,0,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,7,2,2,1,2,76,76,3,2,2,2,2,2,2,6,2,2,2,2,5,76,2,2,2,3,2,5,3,3,0,3,2,5,2,2,3,0,2,2,2,0,0,2,2,17,3,0,1,
RegressionTest0::test13 ,2,0,2,3,1,2,0,2,1,1,1,3,0,1,1,1,3,1,3,3,3,1,0,1,0,1,2,1,2,1,1,1,1,1,2,4,1,0,10,2,2,4,2,79,79,0,1,1,1,1,1,2,9,1,4,1,1,8,79,2,2,1,0,1,8,0,0,3,0,1,8,1,1,0,3,2,2,1,3,3,1,1,20,0,3,3,
RegressionTest0::test14 ,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test15 ,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test16 ,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test17 ,2,3,2,1,2,2,3,2,2,2,2,0,3,2,2,2,0,2,0,1,0,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,7,2,2,1,2,76,76,3,2,2,2,2,2,2,6,2,2,2,2,5,76,2,2,2,3,2,5,3,3,0,3,2,5,2,2,3,0,2,2,2,0,0,2,2,17,3,0,1,
RegressionTest0::test18 ,1,1,1,2,0,1,1,1,0,0,0,2,1,0,0,0,2,0,2,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,3,0,1,9,1,1,3,1,78,78,1,0,0,0,0,0,1,8,0,3,0,0,7,78,1,1,0,1,0,7,1,1,2,1,0,7,0,0,1,2,1,1,0,2,2,0,0,19,1,2,2,
RegressionTest0::test19 ,2,3,2,1,2,2,3,2,2,2,2,0,3,2,2,2,0,2,0,1,0,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,7,2,2,1,2,76,76,3,2,2,2,2,2,2,6,2,2,2,2,5,76,2,2,2,3,2,5,3,3,0,3,2,5,2,2,3,0,2,2,2,0,0,2,2,17,3,0,1,
