:,NumberUtilsTest::testCompareDouble,NumberUtilsTest::testCompareFloat,NumberUtilsTest::testConstants,NumberUtilsTest::testConstructor,NumberUtilsTest::testCreateBigDecimal,NumberUtilsTest::testCreateBigInteger,NumberUtilsTest::testCreateDouble,NumberUtilsTest::testCreateFloat,NumberUtilsTest::testCreateInteger,NumberUtilsTest::testCreateLong,NumberUtilsTest::testCreateNumber,NumberUtilsTest::testIsDigits,NumberUtilsTest::testIsNumber,NumberUtilsTest::testLang300,NumberUtilsTest::testLang381,NumberUtilsTest::testMaxByte,NumberUtilsTest::testMaxDouble,NumberUtilsTest::testMaxFloat,NumberUtilsTest::testMaxInt,NumberUtilsTest::testMaxLong,NumberUtilsTest::testMaxShort,NumberUtilsTest::testMaximumByte,NumberUtilsTest::testMaximumDouble,NumberUtilsTest::testMaximumFloat,NumberUtilsTest::testMaximumInt,NumberUtilsTest::testMaximumLong,NumberUtilsTest::testMaximumShort,NumberUtilsTest::testMinByte,NumberUtilsTest::testMinDouble,NumberUtilsTest::testMinFloat,NumberUtilsTest::testMinInt,NumberUtilsTest::testMinLong,NumberUtilsTest::testMinShort,NumberUtilsTest::testMinimumByte,NumberUtilsTest::testMinimumDouble,NumberUtilsTest::testMinimumFloat,NumberUtilsTest::testMinimumInt,NumberUtilsTest::testMinimumLong,NumberUtilsTest::testMinimumShort,NumberUtilsTest::testStringToDoubleString,NumberUtilsTest::testStringToDoubleStringD,NumberUtilsTest::testToByteString,NumberUtilsTest::testToByteStringI,NumberUtilsTest::testToFloatString,NumberUtilsTest::testToFloatStringF,NumberUtilsTest::testToIntString,NumberUtilsTest::testToIntStringI,NumberUtilsTest::testToLongString,NumberUtilsTest::testToLongStringL,NumberUtilsTest::testToShortString,NumberUtilsTest::testToShortStringI,
NumberUtilsTest::testCompareDouble ,0,18,209,247,252,252,252,252,252,252,248,246,156,252,244,238,235,241,238,241,238,252,252,252,252,252,252,241,235,241,241,243,241,252,252,252,252,252,252,235,248,244,248,238,248,244,248,236,248,244,248,
NumberUtilsTest::testCompareFloat ,18,0,209,247,252,252,252,252,252,252,248,246,156,252,244,238,241,235,238,235,238,252,252,252,252,252,252,241,241,235,241,238,241,252,252,252,252,252,252,238,248,244,248,235,248,244,248,236,248,244,248,
NumberUtilsTest::testConstants ,209,209,0,52,57,57,57,57,57,57,53,51,58,57,88,100,70,70,99,68,99,57,57,57,57,57,57,75,70,70,74,53,74,57,57,57,57,57,57,39,51,49,53,40,51,49,53,39,51,49,53,
NumberUtilsTest::testConstructor ,247,247,52,0,7,7,7,7,7,7,23,5,92,8,90,107,75,75,107,72,107,8,8,8,40,8,8,79,75,75,79,54,79,8,8,8,40,8,8,20,4,6,5,20,4,6,5,25,4,6,5,
NumberUtilsTest::testCreateBigDecimal ,252,252,57,7,0,0,0,0,0,0,24,6,97,3,95,112,80,80,112,77,112,6,3,3,40,3,6,84,80,80,84,58,84,6,3,3,40,3,6,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testCreateBigInteger ,252,252,57,7,0,0,0,0,0,0,24,6,97,3,95,112,80,80,112,77,112,6,3,3,40,3,6,84,80,80,84,58,84,6,3,3,40,3,6,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testCreateDouble ,252,252,57,7,0,0,0,0,0,0,24,6,97,3,95,112,80,80,112,77,112,6,3,3,40,3,6,84,80,80,84,58,84,6,3,3,40,3,6,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testCreateFloat ,252,252,57,7,0,0,0,0,0,0,24,6,97,3,95,112,80,80,112,77,112,6,3,3,40,3,6,84,80,80,84,58,84,6,3,3,40,3,6,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testCreateInteger ,252,252,57,7,0,0,0,0,0,0,24,6,97,3,95,112,80,80,112,77,112,6,3,3,40,3,6,84,80,80,84,58,84,6,3,3,40,3,6,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testCreateLong ,252,252,57,7,0,0,0,0,0,0,24,6,97,3,95,112,80,80,112,77,112,6,3,3,40,3,6,84,80,80,84,58,84,6,3,3,40,3,6,24,6,10,9,24,6,10,9,29,6,10,9,
