:,ClassUtilsTest::testConstructor,ClassUtilsTest::testGetClassByNormalNameArrays,ClassUtilsTest::testGetClassByNormalNameArrays2D,ClassUtilsTest::testGetClassClassNotFound,ClassUtilsTest::testGetClassInvalidArguments,ClassUtilsTest::testGetClassRawPrimitives,ClassUtilsTest::testGetClassWithArrayClasses,ClassUtilsTest::testGetClassWithArrayClasses2D,ClassUtilsTest::testGetPublicMethod,ClassUtilsTest::testPrimitiveToWrapper,ClassUtilsTest::testPrimitivesToWrappers,ClassUtilsTest::testShowJavaBug,ClassUtilsTest::testToClass_object,ClassUtilsTest::testWithInterleavingWhitespace,ClassUtilsTest::testWrapperToPrimitive,ClassUtilsTest::testWrapperToPrimitiveNoWrapper,ClassUtilsTest::testWrapperToPrimitiveNull,ClassUtilsTest::testWrappersToPrimitives,ClassUtilsTest::testWrappersToPrimitivesEmpty,ClassUtilsTest::testWrappersToPrimitivesNull,ClassUtilsTest::test_convertClassNamesToClasses_List,ClassUtilsTest::test_convertClassesToClassNames_List,ClassUtilsTest::test_getAllInterfaces_Class,ClassUtilsTest::test_getAllSuperclasses_Class,ClassUtilsTest::test_getPackageCanonicalName_Class,ClassUtilsTest::test_getPackageCanonicalName_Object,ClassUtilsTest::test_getPackageCanonicalName_String,ClassUtilsTest::test_getPackageName_Class,ClassUtilsTest::test_getPackageName_Object,ClassUtilsTest::test_getPackageName_String,ClassUtilsTest::test_getShortCanonicalName_Class,ClassUtilsTest::test_getShortCanonicalName_Object,ClassUtilsTest::test_getShortCanonicalName_String,ClassUtilsTest::test_getShortClassName_Class,ClassUtilsTest::test_getShortClassName_Object,ClassUtilsTest::test_getShortClassName_String,ClassUtilsTest::test_isAssignable,ClassUtilsTest::test_isAssignable_Autoboxing,ClassUtilsTest::test_isAssignable_ClassArray_ClassArray,ClassUtilsTest::test_isAssignable_ClassArray_ClassArray_Autoboxing,ClassUtilsTest::test_isAssignable_ClassArray_ClassArray_NoAutoboxing,ClassUtilsTest::test_isAssignable_DefaultUnboxing_Widening,ClassUtilsTest::test_isAssignable_NoAutoboxing,ClassUtilsTest::test_isAssignable_Unboxing_Widening,ClassUtilsTest::test_isAssignable_Widening,ClassUtilsTest::test_isInnerClass_Class,
ClassUtilsTest::testConstructor ,0,8,8,8,8,8,8,8,5,8,47,6,38,8,30,8,8,44,7,8,12,13,9,7,8,7,8,8,7,8,8,7,8,8,7,8,8,22,29,44,44,8,23,61,8,6,
ClassUtilsTest::testGetClassByNormalNameArrays ,8,0,0,0,1,0,0,0,6,1,52,4,44,0,34,0,1,49,1,1,15,16,10,5,0,10,0,1,4,1,0,10,0,1,4,1,6,25,35,50,50,0,25,64,0,8,
ClassUtilsTest::testGetClassByNormalNameArrays2D ,8,0,0,0,1,0,0,0,6,1,52,4,44,0,34,0,1,49,1,1,15,16,10,5,0,10,0,1,4,1,0,10,0,1,4,1,6,25,35,50,50,0,25,64,0,8,
ClassUtilsTest::testGetClassClassNotFound ,8,0,0,0,1,0,0,0,6,1,52,4,44,0,34,0,1,49,1,1,15,16,10,5,0,10,0,1,4,1,0,10,0,1,4,1,6,25,35,50,50,0,25,64,0,8,
ClassUtilsTest::testGetClassInvalidArguments ,8,1,1,1,0,1,1,1,6,0,51,4,43,1,34,1,0,48,1,0,14,15,9,4,1,9,1,0,3,0,1,9,1,0,3,0,5,24,34,49,49,1,24,64,1,7,
ClassUtilsTest::testGetClassRawPrimitives ,8,0,0,0,1,0,0,0,6,1,52,4,44,0,34,0,1,49,1,1,15,16,10,5,0,10,0,1,4,1,0,10,0,1,4,1,6,25,35,50,50,0,25,64,0,8,
ClassUtilsTest::testGetClassWithArrayClasses ,8,0,0,0,1,0,0,0,6,1,52,4,44,0,34,0,1,49,1,1,15,16,10,5,0,10,0,1,4,1,0,10,0,1,4,1,6,25,35,50,50,0,25,64,0,8,
ClassUtilsTest::testGetClassWithArrayClasses2D ,8,0,0,0,1,0,0,0,6,1,52,4,44,0,34,0,1,49,1,1,15,16,10,5,0,10,0,1,4,1,0,10,0,1,4,1,6,25,35,50,50,0,25,64,0,8,
ClassUtilsTest::testGetPublicMethod ,5,6,6,6,6,6,6,6,0,6,48,2,39,6,31,6,6,46,5,6,11,12,9,5,6,5,6,6,5,6,6,5,6,6,5,6,6,25,30,45,45,6,21,64,6,5,
ClassUtilsTest::testPrimitiveToWrapper ,8,1,1,1,0,1,1,1,6,0,51,4,43,1,34,1,0,48,1,0,14,15,9,4,1,9,1,0,3,0,1,9,1,0,3,0,5,24,34,49,49,1,24,64,1,7,
