:,Fraction_ESTest::test00,Fraction_ESTest::test01,Fraction_ESTest::test02,Fraction_ESTest::test03,Fraction_ESTest::test04,Fraction_ESTest::test05,Fraction_ESTest::test06,Fraction_ESTest::test07,Fraction_ESTest::test08,Fraction_ESTest::test09,Fraction_ESTest::test10,Fraction_ESTest::test11,Fraction_ESTest::test12,Fraction_ESTest::test13,Fraction_ESTest::test14,Fraction_ESTest::test15,Fraction_ESTest::test16,Fraction_ESTest::test17,Fraction_ESTest::test18,Fraction_ESTest::test19,Fraction_ESTest::test20,Fraction_ESTest::test21,Fraction_ESTest::test22,Fraction_ESTest::test23,Fraction_ESTest::test24,Fraction_ESTest::test25,Fraction_ESTest::test26,Fraction_ESTest::test27,Fraction_ESTest::test28,Fraction_ESTest::test29,Fraction_ESTest::test30,Fraction_ESTest::test31,Fraction_ESTest::test32,Fraction_ESTest::test33,Fraction_ESTest::test34,Fraction_ESTest::test35,Fraction_ESTest::test36,Fraction_ESTest::test37,Fraction_ESTest::test38,Fraction_ESTest::test39,Fraction_ESTest::test40,Fraction_ESTest::test41,Fraction_ESTest::test42,Fraction_ESTest::test43,Fraction_ESTest::test44,Fraction_ESTest::test45,Fraction_ESTest::test46,Fraction_ESTest::test47,Fraction_ESTest::test48,Fraction_ESTest::test49,Fraction_ESTest::test50,Fraction_ESTest::test51,Fraction_ESTest::test52,Fraction_ESTest::test53,Fraction_ESTest::test54,Fraction_ESTest::test55,Fraction_ESTest::test56,Fraction_ESTest::test57,Fraction_ESTest::test58,Fraction_ESTest::test59,Fraction_ESTest::test60,Fraction_ESTest::test61,Fraction_ESTest::test62,Fraction_ESTest::test63,Fraction_ESTest::test64,Fraction_ESTest::test65,Fraction_ESTest::test66,Fraction_ESTest::test67,Fraction_ESTest::test68,Fraction_ESTest::test69,
Fraction_ESTest::test00 ,0,11,2,6,2,3,2,3,2,4,7,3,3,2,3,0,2,3,3,2,2,2,1,2,2,2,6,0,2,2,2,3,1,2,2,3,4,2,4,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,0,1,1,2,2,2,2,1,2,4,
Fraction_ESTest::test01 ,11,0,12,7,12,12,12,11,12,12,12,12,12,12,12,11,12,12,12,12,12,12,11,12,12,9,9,11,12,12,12,12,10,12,12,10,9,12,11,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,11,10,12,11,11,10,12,12,12,12,10,12,10,
Fraction_ESTest::test02 ,2,12,0,8,1,3,1,3,0,4,7,3,3,1,3,2,2,3,3,1,2,1,1,1,1,4,8,2,0,0,1,3,2,1,1,4,5,1,4,3,3,1,1,3,3,3,2,0,0,0,1,2,1,1,2,2,1,1,4,1,2,1,2,0,0,0,0,2,0,5,
Fraction_ESTest::test03 ,6,7,8,0,8,8,8,7,8,8,8,8,8,8,8,6,8,8,8,8,8,8,7,8,8,6,5,6,8,8,8,8,6,8,8,6,5,8,7,7,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,7,6,8,6,7,6,8,8,8,8,6,8,6,
Fraction_ESTest::test04 ,2,12,1,8,0,3,1,3,1,4,7,3,3,1,3,2,1,3,3,1,2,1,1,1,1,4,8,2,1,1,1,3,2,1,1,4,5,1,4,3,3,1,1,3,3,3,2,1,1,1,1,2,1,1,2,2,1,1,4,1,2,1,2,1,1,1,1,2,1,5,
Fraction_ESTest::test05 ,3,12,3,8,3,0,2,2,3,1,6,2,2,2,0,3,3,2,2,2,2,2,3,2,2,4,7,3,3,3,2,2,3,2,2,3,5,2,3,2,2,2,3,2,2,3,2,3,3,3,2,2,3,2,2,2,3,3,4,2,3,3,3,3,3,3,3,3,3,5,
Fraction_ESTest::test06 ,2,12,1,8,1,2,0,2,1,3,6,2,2,0,2,2,1,2,2,0,1,0,1,0,0,4,8,2,1,1,0,2,2,0,0,3,4,0,3,2,2,0,1,2,2,3,1,1,1,1,0,1,1,0,1,1,1,1,3,0,2,1,2,1,1,1,1,2,1,5,
Fraction_ESTest::test07 ,3,11,3,7,3,2,2,0,3,3,6,2,2,2,2,3,3,2,2,2,2,2,3,2,2,4,8,3,3,3,2,2,3,2,2,4,4,2,2,2,2,2,3,2,2,3,2,3,3,3,2,2,3,2,2,2,3,3,4,2,3,3,3,3,3,3,3,3,3,5,
Fraction_ESTest::test08 ,2,12,0,8,1,3,1,3,0,4,7,3,3,1,3,2,2,3,3,1,2,1,1,1,1,4,8,2,0,0,1,3,2,1,1,4,5,1,4,3,3,1,1,3,3,3,2,0,0,0,1,2,1,1,2,2,1,1,4,1,2,1,2,0,0,0,0,2,0,5,
Fraction_ESTest::test09 ,4,12,4,8,4,1,3,3,4,0,6,3,3,3,1,4,4,3,3,3,3,3,4,3,3,4,7,4,4,4,3,3,4,3,3,3,5,3,3,3,3,3,4,3,3,4,3,4,4,4,3,3,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,5,
Fraction_ESTest::test10 ,7,12,7,8,7,6,6,6,7,6,0,5,5,6,6,7,7,5,5,6,6,6,7,6,6,7,7,7,7,7,6,5,7,6,6,7,7,6,6,5,5,6,7,5,5,7,6,7,7,7,6,6,7,6,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,
Fraction_ESTest::test11 ,3,12,3,8,3,2,2,2,3,3,5,0,1,2,2,3,3,1,1,2,2,2,3,2,2,4,7,3,3,3,2,1,3,2,2,4,5,2,3,1,1,2,3,1,1,3,2,3,3,3,2,2,3,2,2,2,3,3,4,2,3,3,3,3,3,3,3,3,3,5,
Fraction_ESTest::test12 ,3,12,3,8,3,2,2,2,3,3,5,1,0,2,2,3,3,1,1,2,2,2,3,2,2,4,7,3,3,3,2,1,3,2,2,4,5,2,3,1,1,2,3,1,0,3,2,3,3,3,2,2,3,2,2,2,3,3,4,2,3,3,3,3,3,3,3,3,3,5,
Fraction_ESTest::test13 ,2,12,1,8,1,2,0,2,1,3,6,2,2,0,2,2,1,2,2,0,1,0,1,0,0,4,8,2,1,1,0,2,2,0,0,3,4,0,3,2,2,0,1,2,2,3,1,1,1,1,0,1,1,0,1,1,1,1,3,0,2,1,2,1,1,1,1,2,1,5,
Fraction_ESTest::test14 ,3,12,3,8,3,0,2,2,3,1,6,2,2,2,0,3,3,2,2,2,2,2,3,2,2,4,7,3,3,3,2,2,3,2,2,3,5,2,3,2,2,2,3,2,2,3,2,3,3,3,2,2,3,2,2,2,3,3,4,2,3,3,3,3,3,3,3,3,3,5,
Fraction_ESTest::test15 ,0,11,2,6,2,3,2,3,2,4,7,3,3,2,3,0,2,3,3,2,2,2,1,2,2,2,6,0,2,2,2,3,1,2,2,3,4,2,4,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,0,1,1,2,2,2,2,1,2,4,
Fraction_ESTest::test16 ,2,12,2,8,1,3,1,3,2,4,7,3,3,1,3,2,0,3,3,1,2,1,2,1,1,4,8,2,2,2,1,3,2,1,1,3,4,1,3,3,3,1,2,3,3,3,2,2,2,2,1,2,2,1,2,1,2,2,3,1,2,2,2,2,2,2,2,2,2,5,
Fraction_ESTest::test17 ,3,12,3,8,3,2,2,2,3,3,5,1,1,2,2,3,3,0,1,2,2,2,3,2,2,4,7,3,3,3,2,1,3,2,2,4,5,2,3,1,1,2,3,1,1,3,2,3,3,3,2,2,3,2,2,2,3,3,4,2,3,3,3,3,3,3,3,3,3,5,
Fraction_ESTest::test18 ,3,12,3,8,3,2,2,2,3,3,5,1,1,2,2,3,3,1,0,2,2,2,3,2,2,4,7,3,3,3,2,1,3,2,2,4,5,2,3,1,1,2,3,1,1,3,2,3,3,3,2,2,3,2,2,2,3,3,4,2,3,3,3,3,3,3,3,3,3,5,
Fraction_ESTest::test19 ,2,12,1,8,1,2,0,2,1,3,6,2,2,0,2,2,1,2,2,0,1,0,1,0,0,4,8,2,1,1,0,2,2,0,0,3,4,0,3,2,2,0,1,2,2,3,1,1,1,1,0,1,1,0,1,1,1,1,3,0,2,1,2,1,1,1,1,2,1,5,
Fraction_ESTest::test20 ,2,12,2,8,2,2,1,2,2,3,6,2,2,1,2,2,2,2,2,1,0,1,2,1,1,4,8,2,2,2,1,2,2,1,1,4,5,1,3,2,2,1,2,2,2,3,0,2,2,2,1,0,2,1,0,1,1,2,3,1,2,2,2,2,2,2,2,2,2,5,
Fraction_ESTest::test21 ,2,12,1,8,1,2,0,2,1,3,6,2,2,0,2,2,1,2,2,0,1,0,1,0,0,4,8,2,1,1,0,2,2,0,0,3,4,0,3,2,2,0,1,2,2,3,1,1,1,1,0,1,1,0,1,1,1,1,3,0,2,1,2,1,1,1,1,2,1,5,
Fraction_ESTest::test22 ,1,11,1,7,1,3,1,3,1,4,7,3,3,1,3,1,2,3,3,1,2,1,0,1,1,3,7,1,1,1,1,3,1,1,1,3,4,1,4,3,3,1,1,3,3,2,2,1,1,1,1,2,1,1,2,2,1,0,3,1,1,0,1,1,1,1,1,1,1,4,
Fraction_ESTest::test23 ,2,12,1,8,1,2,0,2,1,3,6,2,2,0,2,2,1,2,2,0,1,0,1,0,0,4,8,2,1,1,0,2,2,0,0,3,4,0,3,2,2,0,1,2,2,3,1,1,1,1,0,1,1,0,1,1,1,1,3,0,2,1,2,1,1,1,1,2,1,5,
Fraction_ESTest::test24 ,2,12,1,8,1,2,0,2,1,3,6,2,2,0,2,2,1,2,2,0,1,0,1,0,0,4,8,2,1,1,0,2,2,0,0,3,4,0,3,2,2,0,1,2,2,3,1,1,1,1,0,1,1,0,1,1,1,1,3,0,2,1,2,1,1,1,1,2,1,5,
Fraction_ESTest::test25 ,2,9,4,6,4,4,4,4,4,4,7,4,4,4,4,2,4,4,4,4,4,4,3,4,4,0,6,2,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,3,2,4,4,4,4,2,4,4,
Fraction_ESTest::test26 ,6,9,8,5,8,7,8,8,8,7,7,7,7,8,7,6,8,7,7,8,8,8,7,8,8,6,0,6,8,8,8,7,6,8,8,6,6,8,8,7,7,8,8,7,7,6,8,8,8,8,8,8,8,8,8,8,8,7,6,8,6,7,6,8,8,8,8,6,8,6,
Fraction_ESTest::test27 ,0,11,2,6,2,3,2,3,2,4,7,3,3,2,3,0,2,3,3,2,2,2,1,2,2,2,6,0,2,2,2,3,1,2,2,3,4,2,4,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,0,1,1,2,2,2,2,1,2,4,
Fraction_ESTest::test28 ,2,12,0,8,1,3,1,3,0,4,7,3,3,1,3,2,2,3,3,1,2,1,1,1,1,4,8,2,0,0,1,3,2,1,1,4,5,1,4,3,3,1,1,3,3,3,2,0,0,0,1,2,1,1,2,2,1,1,4,1,2,1,2,0,0,0,0,2,0,5,
Fraction_ESTest::test29 ,2,12,0,8,1,3,1,3,0,4,7,3,3,1,3,2,2,3,3,1,2,1,1,1,1,4,8,2,0,0,1,3,2,1,1,4,5,1,4,3,3,1,1,3,3,3,2,0,0,0,1,2,1,1,2,2,1,1,4,1,2,1,2,0,0,0,0,2,0,5,
Fraction_ESTest::test30 ,2,12,1,8,1,2,0,2,1,3,6,2,2,0,2,2,1,2,2,0,1,0,1,0,0,4,8,2,1,1,0,2,2,0,0,3,4,0,3,2,2,0,1,2,2,3,1,1,1,1,0,1,1,0,1,1,1,1,3,0,2,1,2,1,1,1,1,2,1,5,
Fraction_ESTest::test31 ,3,12,3,8,3,2,2,2,3,3,5,1,1,2,2,3,3,1,1,2,2,2,3,2,2,4,7,3,3,3,2,0,3,2,2,4,5,2,3,1,1,2,3,1,1,3,2,3,3,3,2,2,3,2,2,2,3,3,4,2,3,3,3,3,3,3,3,3,3,5,
Fraction_ESTest::test32 ,1,10,2,6,2,3,2,3,2,4,7,3,3,2,3,1,2,3,3,2,2,2,1,2,2,2,6,1,2,2,2,3,0,2,2,2,3,2,4,3,3,2,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,1,0,2,2,2,2,0,2,3,
Fraction_ESTest::test33 ,2,12,1,8,1,2,0,2,1,3,6,2,2,0,2,2,1,2,2,0,1,0,1,0,0,4,8,2,1,1,0,2,2,0,0,3,4,0,3,2,2,0,1,2,2,3,1,1,1,1,0,1,1,0,1,1,1,1,3,0,2,1,2,1,1,1,1,2,1,5,
Fraction_ESTest::test34 ,2,12,1,8,1,2,0,2,1,3,6,2,2,0,2,2,1,2,2,0,1,0,1,0,0,4,8,2,1,1,0,2,2,0,0,3,4,0,3,2,2,0,1,2,2,3,1,1,1,1,0,1,1,0,1,1,1,1,3,0,2,1,2,1,1,1,1,2,1,5,
