:,EntityArrays_ESTest::test00,EntityArrays_ESTest::test01,EntityArrays_ESTest::test02,EntityArrays_ESTest::test03,EntityArrays_ESTest::test04,EntityArrays_ESTest::test05,EntityArrays_ESTest::test06,EntityArrays_ESTest::test07,EntityArrays_ESTest::test08,EntityArrays_ESTest::test09,EntityArrays_ESTest::test10,
EntityArrays_ESTest::test00 ,0,0,0,1,0,0,2,1,0,0,2,
EntityArrays_ESTest::test01 ,0,0,0,1,0,0,2,1,0,0,2,
EntityArrays_ESTest::test02 ,0,0,0,1,0,0,2,1,0,0,2,
EntityArrays_ESTest::test03 ,1,1,1,0,1,1,3,0,1,1,3,
EntityArrays_ESTest::test04 ,0,0,0,1,0,0,2,1,0,0,2,
EntityArrays_ESTest::test05 ,0,0,0,1,0,0,2,1,0,0,2,
EntityArrays_ESTest::test06 ,2,2,2,3,2,2,0,3,2,2,1,
EntityArrays_ESTest::test07 ,1,1,1,0,1,1,3,0,1,1,3,
EntityArrays_ESTest::test08 ,0,0,0,1,0,0,2,1,0,0,2,
EntityArrays_ESTest::test09 ,0,0,0,1,0,0,2,1,0,0,2,
EntityArrays_ESTest::test10 ,2,2,2,3,2,2,1,3,2,2,0,
