:,PolygonsSetTest::testBug20040520,PolygonsSetTest::testBug20041003,PolygonsSetTest::testChoppedHexagon,PolygonsSetTest::testConcentric,PolygonsSetTest::testDifference,PolygonsSetTest::testDisjointPolygons,PolygonsSetTest::testEmptyDifference,PolygonsSetTest::testHole,PolygonsSetTest::testIntersection,PolygonsSetTest::testLineIntersection,PolygonsSetTest::testOppositeHyperplanes,PolygonsSetTest::testSimplyConnected,PolygonsSetTest::testSingularPoint,PolygonsSetTest::testStair,PolygonsSetTest::testUnion,PolygonsSetTest::testUnlimitedSubHyperplane,PolygonsSetTest::testXor,PolyhedronsSetTest::testBox,PolyhedronsSetTest::testBuildBox,PolyhedronsSetTest::testCross,PolyhedronsSetTest::testIsometry,PolyhedronsSetTest::testIssue780,PolyhedronsSetTest::testTetrahedron,
PolygonsSetTest::testBug20040520 ,0,168,165,158,102,155,173,121,139,168,186,128,178,168,102,150,102,164,212,209,170,280,144,
PolygonsSetTest::testBug20041003 ,168,0,78,60,140,54,51,93,74,54,61,71,55,56,139,55,167,72,79,76,55,324,54,
PolygonsSetTest::testChoppedHexagon ,165,78,0,77,131,83,95,98,89,82,97,84,88,90,128,87,157,94,116,114,93,317,86,
PolygonsSetTest::testConcentric ,158,60,77,0,124,41,47,83,61,39,59,59,50,44,122,25,155,62,83,78,52,322,47,
PolygonsSetTest::testDifference ,102,140,131,124,0,114,145,75,79,133,155,98,146,134,32,109,65,130,187,184,139,283,119,
PolygonsSetTest::testDisjointPolygons ,155,54,83,41,114,0,49,67,47,44,57,58,52,50,112,34,142,52,86,83,48,322,46,
PolygonsSetTest::testEmptyDifference ,173,51,95,47,145,49,0,96,73,36,21,73,23,31,143,41,177,58,43,41,24,340,39,
PolygonsSetTest::testHole ,121,93,98,83,75,67,96,0,44,87,107,55,99,88,72,68,96,84,136,133,91,294,68,
PolygonsSetTest::testIntersection ,139,74,89,61,79,47,73,44,0,66,84,44,80,72,79,45,106,71,115,112,71,308,56,
PolygonsSetTest::testLineIntersection ,168,54,82,39,133,44,36,87,66,0,37,67,28,24,126,40,159,56,66,63,40,329,41,
PolygonsSetTest::testOppositeHyperplanes ,186,61,97,59,155,57,21,107,84,37,0,85,19,32,152,56,186,64,35,35,38,347,51,
PolygonsSetTest::testSimplyConnected ,128,71,84,59,98,58,73,55,44,67,85,0,77,67,94,51,119,74,111,108,72,301,56,
PolygonsSetTest::testSingularPoint ,178,55,88,50,146,52,23,99,80,28,19,77,0,26,143,44,175,60,49,48,40,340,46,
PolygonsSetTest::testStair ,168,56,90,44,134,50,31,88,72,24,32,67,26,0,134,44,168,59,58,56,39,334,41,
PolygonsSetTest::testUnion ,102,139,128,122,32,112,143,72,79,126,152,94,143,134,0,107,50,126,185,182,138,280,116,
PolygonsSetTest::testUnlimitedSubHyperplane ,150,55,87,25,109,34,41,68,45,40,56,51,44,44,107,0,142,55,83,80,49,324,40,
PolygonsSetTest::testXor ,102,167,157,155,65,142,177,96,106,159,186,119,175,168,50,142,0,157,219,216,166,280,149,
PolyhedronsSetTest::testBox ,164,72,94,62,130,52,58,84,71,56,64,74,60,59,126,55,157,0,93,90,61,329,53,
PolyhedronsSetTest::testBuildBox ,212,79,116,83,187,86,43,136,115,66,35,111,49,58,185,83,219,93,0,19,60,370,72,
PolyhedronsSetTest::testCross ,209,76,114,78,184,83,41,133,112,63,35,108,48,56,182,80,216,90,19,0,58,367,70,
PolyhedronsSetTest::testIsometry ,170,55,93,52,139,48,24,91,71,40,38,72,40,39,138,49,166,61,60,58,0,334,37,
PolyhedronsSetTest::testIssue780 ,280,324,317,322,283,322,340,294,308,329,347,301,340,334,280,324,280,329,370,367,334,0,320,
PolyhedronsSetTest::testTetrahedron ,144,54,86,47,119,46,39,68,56,41,51,56,46,41,116,40,149,53,72,70,37,320,0,
