:,ComplexFieldTest::testOne,ComplexFieldTest::testSerial,ComplexFieldTest::testZero,ComplexFormatAbstractTest::testConstructorSingleFormat,ComplexFormatAbstractTest::testDefaultFormatComplex,ComplexFormatAbstractTest::testDifferentImaginaryChar,ComplexFormatAbstractTest::testForgottenImaginaryCharacter,ComplexFormatAbstractTest::testFormatNumber,ComplexFormatAbstractTest::testGetImaginaryFormat,ComplexFormatAbstractTest::testGetRealFormat,ComplexFormatAbstractTest::testNan,ComplexFormatAbstractTest::testNegativeBoth,ComplexFormatAbstractTest::testNegativeImaginary,ComplexFormatAbstractTest::testNegativeInfinity,ComplexFormatAbstractTest::testNegativeReal,ComplexFormatAbstractTest::testParseDifferentImaginaryChar,ComplexFormatAbstractTest::testParseNan,ComplexFormatAbstractTest::testParseNegativeBoth,ComplexFormatAbstractTest::testParseNegativeImaginary,ComplexFormatAbstractTest::testParseNegativeReal,ComplexFormatAbstractTest::testParsePositiveInfinity,ComplexFormatAbstractTest::testParseSimpleNoDecimals,ComplexFormatAbstractTest::testParseSimpleWithDecimals,ComplexFormatAbstractTest::testParseSimpleWithDecimalsTrunc,ComplexFormatAbstractTest::testParseZeroImaginary,ComplexFormatAbstractTest::testParseZeroReal,ComplexFormatAbstractTest::testPaseNegativeInfinity,ComplexFormatAbstractTest::testPositiveInfinity,ComplexFormatAbstractTest::testSimpleNoDecimals,ComplexFormatAbstractTest::testSimpleWithDecimals,ComplexFormatAbstractTest::testSimpleWithDecimalsTrunc,ComplexFormatAbstractTest::testTrimOneImaginary,ComplexFormatAbstractTest::testZeroImaginary,ComplexFormatAbstractTest::testZeroReal,ComplexTest::testAbs,ComplexTest::testAbsInfinite,ComplexTest::testAbsNaN,ComplexTest::testAcos,ComplexTest::testAcosInf,ComplexTest::testAcosNaN,ComplexTest::testAdd,ComplexTest::testAddInf,ComplexTest::testAddNaN,ComplexTest::testAsin,ComplexTest::testAsinInf,ComplexTest::testAsinNaN,ComplexTest::testAtan,ComplexTest::testAtanI,ComplexTest::testAtanInf,ComplexTest::testAtanNaN,ComplexTest::testConjugate,ComplexTest::testConjugateInfiinite,ComplexTest::testConjugateNaN,ComplexTest::testConstructor,ComplexTest::testConstructorNaN,ComplexTest::testCos,ComplexTest::testCosInf,ComplexTest::testCosNaN,ComplexTest::testCosh,ComplexTest::testCoshInf,ComplexTest::testCoshNaN,ComplexTest::testDivide,ComplexTest::testDivideImaginary,ComplexTest::testDivideInf,ComplexTest::testDivideNaN,ComplexTest::testDivideNaNInf,ComplexTest::testDivideReal,ComplexTest::testDivideZero,ComplexTest::testDivideZeroZero,ComplexTest::testEqualsClass,ComplexTest::testEqualsImaginaryDifference,ComplexTest::testEqualsNaN,ComplexTest::testEqualsNull,ComplexTest::testEqualsRealDifference,ComplexTest::testEqualsSame,ComplexTest::testEqualsTrue,ComplexTest::testExp,ComplexTest::testExpInf,ComplexTest::testExpNaN,ComplexTest::testGetArgument,ComplexTest::testGetArgumentInf,ComplexTest::testGetArgumentNaN,ComplexTest::testHashCode,ComplexTest::testLog,ComplexTest::testLogInf,ComplexTest::testLogNaN,ComplexTest::testLogZero,ComplexTest::testMath221,ComplexTest::testMultiply,ComplexTest::testMultiplyInfInf,ComplexTest::testMultiplyNaN,ComplexTest::testMultiplyNaNInf,ComplexTest::testNegate,ComplexTest::testNegateNaN,ComplexTest::testNthRoot_cornercase_NAN_Inf,ComplexTest::testNthRoot_cornercase_thirdRoot_imaginaryPartEmpty,ComplexTest::testNthRoot_cornercase_thirdRoot_realPartZero,ComplexTest::testNthRoot_normal_fourthRoot,ComplexTest::testNthRoot_normal_thirdRoot,ComplexTest::testPow,ComplexTest::testPowInf,ComplexTest::testPowNaNBase,ComplexTest::testPowNaNExponent,ComplexTest::testPowZero,ComplexTest::testReciprocal,ComplexTest::testReciprocalImaginary,ComplexTest::testReciprocalInf,ComplexTest::testReciprocalNaN,ComplexTest::testReciprocalReal,ComplexTest::testReciprocalZero,ComplexTest::testScalarAdd,ComplexTest::testScalarAddInf,ComplexTest::testScalarAddNaN,ComplexTest::testScalarDivide,ComplexTest::testScalarDivideInf,ComplexTest::testScalarDivideNaN,ComplexTest::testScalarDivideZero,ComplexTest::testScalarMultiply,ComplexTest::testScalarMultiplyInf,ComplexTest::testScalarMultiplyNaN,ComplexTest::testScalarPow,ComplexTest::testScalarPowInf,ComplexTest::testScalarPowNaNBase,ComplexTest::testScalarPowNaNExponent,ComplexTest::testScalarPowZero,ComplexTest::testScalarSubtract,ComplexTest::testScalarSubtractInf,ComplexTest::testScalarSubtractNaN,ComplexTest::testSerial,ComplexTest::testSin,ComplexTest::testSinInf,ComplexTest::testSinNaN,ComplexTest::testSinh,ComplexTest::testSinhInf,ComplexTest::testSinhNaN,ComplexTest::testSqrt1z,ComplexTest::testSqrt1zNaN,ComplexTest::testSqrtImaginaryNegative,ComplexTest::testSqrtImaginaryZero,ComplexTest::testSqrtInf,ComplexTest::testSqrtNaN,ComplexTest::testSqrtPolar,ComplexTest::testSqrtRealNegative,ComplexTest::testSqrtRealPositive,ComplexTest::testSqrtRealZero,ComplexTest::testSubtract,ComplexTest::testSubtractInf,ComplexTest::testSubtractNaN,ComplexTest::testTan,ComplexTest::testTanCritical,ComplexTest::testTanInf,ComplexTest::testTanNaN,ComplexTest::testTanh,ComplexTest::testTanhCritical,ComplexTest::testTanhInf,ComplexTest::testTanhNaN,ComplexTest::testpowNull,ComplexUtilsTest::testPolar2Complex,ComplexUtilsTest::testPolar2ComplexIllegalModulus,ComplexUtilsTest::testPolar2ComplexInf,ComplexUtilsTest::testPolar2ComplexNaN,
ComplexFieldTest::testOne ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexFieldTest::testSerial ,2,0,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,10,3,3,2,8,2,5,2,2,2,10,3,2,2,2,2,2,2,2,2,6,2,2,3,2,2,2,2,2,2,2,4,7,2,2,5,2,3,2,5,4,2,5,2,2,4,2,2,19,2,2,17,2,17,2,2,7,2,2,2,17,2,2,19,18,17,20,18,3,2,2,2,2,2,4,3,2,4,2,2,6,2,2,10,2,5,6,5,2,2,5,2,2,6,2,6,2,4,2,2,2,2,2,2,2,2,3,4,2,2,11,3,3,3,2,10,3,9,7,3,2,9,3,3,2,2,26,2,10,2,
ComplexFieldTest::testZero ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexFormatAbstractTest::testConstructorSingleFormat ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexFormatAbstractTest::testDefaultFormatComplex ,3,3,3,2,0,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,8,1,1,2,5,2,2,3,3,1,7,1,1,3,3,1,3,3,3,2,4,3,2,0,1,3,3,1,3,3,1,1,4,2,3,2,2,2,2,3,2,2,3,2,1,1,3,3,16,3,3,16,1,14,3,3,4,1,3,2,14,2,3,20,18,17,20,18,0,3,2,2,2,2,2,1,3,2,3,1,3,1,1,7,1,4,3,2,1,1,5,2,1,5,1,3,1,1,1,3,3,1,3,3,1,3,1,2,3,3,12,1,1,1,1,7,1,6,5,3,3,6,2,3,3,3,27,3,10,3,
ComplexFormatAbstractTest::testDifferentImaginaryChar ,3,3,3,2,2,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,2,2,8,2,2,2,7,2,4,3,3,2,7,1,2,3,3,2,3,3,3,2,5,3,2,2,2,3,3,2,3,3,2,3,5,2,3,3,2,2,2,4,3,2,4,2,2,3,3,3,16,3,3,18,2,16,3,3,5,2,3,2,14,2,3,20,18,17,20,16,2,3,2,2,2,2,3,1,3,3,3,2,3,2,2,7,2,2,5,2,2,2,3,2,2,6,2,3,2,3,2,3,3,2,3,3,2,3,1,3,3,3,12,1,1,2,2,7,1,7,6,2,3,7,2,3,3,3,25,3,9,1,
ComplexFormatAbstractTest::testForgottenImaginaryCharacter ,4,3,4,3,2,3,0,3,3,3,3,2,2,3,2,2,3,2,2,2,3,3,2,2,2,2,3,3,3,2,2,9,2,2,3,6,3,3,4,4,2,8,2,2,4,4,2,4,4,4,3,4,4,3,2,2,4,4,2,4,4,2,3,5,3,4,3,3,3,3,3,2,3,3,3,2,2,4,4,17,4,4,15,2,15,4,4,5,2,4,3,15,3,4,18,16,15,18,16,2,4,3,3,3,3,2,2,4,2,4,2,4,2,2,8,2,4,4,3,2,2,5,3,2,5,2,4,2,2,2,4,4,2,4,4,2,4,2,2,4,4,11,2,2,2,2,8,2,7,5,4,4,7,3,4,4,4,26,4,10,4,
ComplexFormatAbstractTest::testFormatNumber ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexFormatAbstractTest::testGetImaginaryFormat ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexFormatAbstractTest::testGetRealFormat ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
