:,LineTest::testAbscissa,LineTest::testClosest,LineTest::testContains,LineTest::testDistance,LineTest::testIntersection,LineTest::testLineDistance,LineTest::testOffset,LineTest::testOriginOffset,LineTest::testParallel,LineTest::testPointAt,LineTest::testPointDistance,LineTest::testRevert,LineTest::testSimilar,LineTest::testTransform,SubLineTest::testEndPoints,SubLineTest::testHalfInfiniteNeg,SubLineTest::testHalfInfinitePos,SubLineTest::testIntersectionBoundaryBoundary,SubLineTest::testIntersectionBoundaryOutside,SubLineTest::testIntersectionInsideBoundary,SubLineTest::testIntersectionInsideInside,SubLineTest::testIntersectionInsideOutside,SubLineTest::testIntersectionNotIntersecting,SubLineTest::testIntersectionOutsideOutside,SubLineTest::testIntersectionParallel,SubLineTest::testNoEndPoints,SubLineTest::testNoSegments,SubLineTest::testSeveralSegments,
LineTest::testAbscissa ,0,59,6,4,4,37,4,7,12,4,6,6,5,13,7,17,17,8,5,8,9,5,7,5,4,25,5,5,
LineTest::testClosest ,59,0,57,63,59,23,63,57,51,63,55,65,64,50,60,59,59,55,59,55,53,59,57,59,60,61,63,61,
LineTest::testContains ,6,57,6,9,6,34,9,5,8,9,6,11,8,11,8,17,16,5,5,5,7,5,5,5,4,24,9,8,
LineTest::testDistance ,4,63,9,0,4,41,0,7,15,5,8,3,3,16,8,18,18,10,6,10,12,6,8,6,5,27,3,4,
LineTest::testIntersection ,4,59,6,4,48,37,4,3,11,6,7,7,5,13,8,19,19,7,4,7,9,4,6,4,3,27,5,5,
LineTest::testLineDistance ,37,23,34,41,37,0,41,35,29,41,33,43,42,28,38,37,37,33,37,33,31,37,35,37,38,39,41,39,
LineTest::testOffset ,4,63,9,0,4,41,0,7,15,5,8,3,3,16,8,18,18,10,6,10,12,6,8,6,5,27,3,4,
LineTest::testOriginOffset ,7,57,5,7,3,35,7,0,10,8,6,9,8,11,9,19,18,6,5,6,8,5,7,5,5,26,7,6,
LineTest::testParallel ,12,51,8,15,11,29,15,10,0,15,9,17,14,11,11,17,15,7,9,7,8,9,9,9,10,23,15,13,
LineTest::testPointAt ,4,63,9,5,6,41,5,8,15,0,8,6,6,16,9,17,18,10,6,10,12,6,8,6,6,24,6,6,
LineTest::testPointDistance ,6,55,6,8,7,33,8,6,9,8,0,10,10,11,9,16,17,7,7,7,8,7,7,7,7,23,10,8,
LineTest::testRevert ,6,65,11,3,7,43,3,9,17,6,10,0,4,18,9,19,19,12,8,12,14,8,10,8,7,26,5,6,
LineTest::testSimilar ,5,64,8,3,5,42,3,8,14,6,10,4,0,17,7,16,16,9,5,9,11,5,7,5,4,25,3,4,
LineTest::testTransform ,13,50,11,16,13,28,16,11,11,16,11,18,17,0,14,17,17,10,12,10,8,12,11,12,14,23,16,14,
SubLineTest::testEndPoints ,7,60,8,8,8,38,8,9,11,9,9,9,7,14,2,11,11,8,7,8,8,7,8,7,7,22,7,6,
SubLineTest::testHalfInfiniteNeg ,17,59,17,18,19,37,18,19,17,17,16,19,16,17,11,7,8,17,17,17,16,17,18,17,17,14,17,17,
SubLineTest::testHalfInfinitePos ,17,59,16,18,19,37,18,18,15,18,17,19,16,17,11,8,7,15,16,15,15,16,17,16,16,13,17,17,
SubLineTest::testIntersectionBoundaryBoundary ,8,55,5,10,7,33,10,6,7,10,7,12,9,10,8,17,15,5,4,0,4,4,5,4,7,23,10,8,
SubLineTest::testIntersectionBoundaryOutside ,5,59,5,6,4,37,6,5,9,6,7,8,5,12,7,17,16,4,3,4,6,0,2,0,3,24,6,6,
SubLineTest::testIntersectionInsideBoundary ,8,55,5,10,7,33,10,6,7,10,7,12,9,10,8,17,15,0,4,5,4,4,5,4,7,23,10,8,
SubLineTest::testIntersectionInsideInside ,9,53,7,12,9,31,12,8,8,12,8,14,11,8,8,16,15,4,6,4,5,6,7,6,9,22,12,10,
SubLineTest::testIntersectionInsideOutside ,5,59,5,6,4,37,6,5,9,6,7,8,5,12,7,17,16,4,0,4,6,3,2,0,3,24,6,6,
SubLineTest::testIntersectionNotIntersecting ,7,57,5,8,6,35,8,7,9,8,7,10,7,11,8,18,17,5,2,5,7,2,0,2,5,24,8,8,
SubLineTest::testIntersectionOutsideOutside ,5,59,5,6,4,37,6,5,9,6,7,8,5,12,7,17,16,4,0,4,6,0,2,3,3,24,6,6,
SubLineTest::testIntersectionParallel ,4,60,4,5,3,38,5,5,10,6,7,7,4,14,7,17,16,7,3,7,9,3,5,3,0,24,5,6,
SubLineTest::testNoEndPoints ,25,61,24,27,27,39,27,26,23,24,23,26,25,23,22,14,13,23,24,23,22,24,24,24,24,13,27,27,
SubLineTest::testNoSegments ,5,63,9,3,5,41,3,7,15,6,10,5,3,16,7,17,17,10,6,10,12,6,8,6,5,27,1,2,
SubLineTest::testSeveralSegments ,5,61,8,4,5,39,4,6,13,6,8,6,4,14,6,17,17,8,6,8,10,6,8,6,6,27,2,1,
