:,DfpDecTest::testNextAfter,DfpDecTest::testRound,DfpDecTest::testRoundDecimal10,DfpMathTest::testPow,DfpMathTest::testSin,DfpTest::testAdd,DfpTest::testByteConstructor,DfpTest::testCeil,DfpTest::testCompare,DfpTest::testCopySign,DfpTest::testDivide,DfpTest::testDivideInt,DfpTest::testFloor,DfpTest::testIntConstructor,DfpTest::testIntValue,DfpTest::testIssue567,DfpTest::testLog10,DfpTest::testLog10K,DfpTest::testLongConstructor,DfpTest::testMultiply,DfpTest::testNextAfter,DfpTest::testPower10,DfpTest::testPower10K,DfpTest::testRemainder,DfpTest::testRint,DfpTest::testRound,DfpTest::testSqrt,DfpTest::testToString,
DfpDecTest::testNextAfter ,0,170,170,82,70,68,71,79,212,77,65,64,79,71,81,79,81,81,74,61,61,58,68,77,75,72,71,78,
DfpDecTest::testRound ,170,0,0,184,164,181,208,214,230,215,200,195,214,208,216,214,216,216,209,213,210,202,213,213,210,170,205,216,
DfpDecTest::testRoundDecimal10 ,170,0,0,184,164,181,208,214,230,215,200,195,214,208,216,214,216,216,209,213,210,202,213,213,210,170,205,216,
DfpMathTest::testPow ,82,184,184,0,75,60,102,104,174,102,76,81,104,104,106,105,106,106,106,69,91,77,96,102,100,75,91,104,
DfpMathTest::testSin ,70,164,164,75,0,49,55,55,245,57,39,34,55,57,57,56,57,57,57,55,52,44,54,55,51,11,47,56,
DfpTest::testAdd ,68,181,181,60,49,0,76,78,205,76,54,57,78,78,80,79,80,80,80,54,65,57,70,76,74,46,64,79,
DfpTest::testByteConstructor ,71,208,208,102,55,76,0,10,240,11,33,42,10,4,12,11,19,12,7,50,17,49,10,11,10,44,18,11,
DfpTest::testCeil ,79,214,214,104,55,78,10,0,247,4,35,44,0,10,6,9,19,8,9,52,18,51,12,2,4,44,19,4,
DfpTest::testCompare ,212,230,230,174,245,205,240,247,0,245,230,232,247,240,249,244,249,249,242,203,234,223,239,245,245,245,236,247,
DfpTest::testCopySign ,77,215,215,102,57,76,11,4,245,0,33,42,4,9,6,10,19,8,9,50,16,49,10,2,6,46,17,4,
DfpTest::testDivide ,65,200,200,76,39,54,33,35,230,33,0,26,35,35,37,36,37,37,37,42,27,35,28,33,31,31,22,34,
DfpTest::testDivideInt ,64,195,195,81,34,57,42,44,232,42,26,0,44,44,46,45,46,45,45,37,36,35,36,42,40,26,28,43,
DfpTest::testFloor ,79,214,214,104,55,78,10,0,247,4,35,44,0,10,6,9,19,8,9,52,18,51,12,2,4,44,19,4,
DfpTest::testIntConstructor ,71,208,208,104,57,78,4,10,240,9,35,44,10,0,10,9,19,10,3,52,19,51,12,10,10,46,19,9,
DfpTest::testIntValue ,81,216,216,106,57,80,12,6,249,6,37,46,6,10,0,10,13,3,9,54,20,53,14,6,6,46,21,6,
DfpTest::testIssue567 ,79,214,214,105,56,79,11,9,244,10,36,45,9,9,10,0,19,10,9,53,19,52,14,9,9,45,20,10,
DfpTest::testLog10 ,81,216,216,106,57,80,19,19,249,19,37,46,19,19,13,19,0,11,19,54,20,52,19,19,19,46,21,19,
DfpTest::testLog10K ,81,216,216,106,57,80,12,8,249,8,37,45,8,10,3,10,11,0,9,54,20,52,14,8,8,46,21,8,
DfpTest::testLongConstructor ,74,209,209,106,57,80,7,9,242,9,37,45,9,3,9,9,19,9,0,54,20,52,14,9,9,46,21,9,
DfpTest::testMultiply ,61,213,213,69,55,54,50,52,203,50,42,37,52,52,54,53,54,54,54,0,41,33,44,51,52,52,44,51,
DfpTest::testNextAfter ,61,210,210,91,52,65,17,18,234,16,27,36,18,19,20,19,20,20,20,41,0,38,13,18,15,41,16,20,
DfpTest::testPower10 ,58,202,202,77,44,57,49,51,223,49,35,35,51,51,53,52,52,52,52,33,38,0,39,49,47,40,38,51,
DfpTest::testPower10K ,68,213,213,96,54,70,10,12,239,10,28,36,12,12,14,14,19,14,14,44,13,39,0,11,12,44,16,12,
DfpTest::testRemainder ,77,213,213,102,55,76,11,2,245,2,33,42,2,10,6,9,19,8,9,51,18,49,11,0,4,44,17,4,
DfpTest::testRint ,75,210,210,100,51,74,10,4,245,6,31,40,4,10,6,9,19,8,9,52,15,47,12,4,0,40,15,6,
DfpTest::testRound ,72,170,170,75,11,46,44,44,245,46,31,26,44,46,46,45,46,46,46,52,41,40,44,44,40,0,36,46,
DfpTest::testSqrt ,71,205,205,91,47,64,18,19,236,17,22,28,19,19,21,20,21,21,21,44,16,38,16,17,15,36,0,17,
DfpTest::testToString ,78,216,216,104,56,79,11,4,247,4,34,43,4,9,6,10,19,8,9,51,20,51,12,4,6,46,17,0,
