:,LevenbergMarquardtOptimizerTest::testCircleFitting,LevenbergMarquardtOptimizerTest::testCircleFittingBadInit,LevenbergMarquardtOptimizerTest::testControlParameters,LevenbergMarquardtOptimizerTest::testIllConditioned,LevenbergMarquardtOptimizerTest::testInconsistentEquations,LevenbergMarquardtOptimizerTest::testInconsistentSizes,LevenbergMarquardtOptimizerTest::testMath199,LevenbergMarquardtOptimizerTest::testMoreEstimatedParametersSimple,LevenbergMarquardtOptimizerTest::testMoreEstimatedParametersUnsorted,LevenbergMarquardtOptimizerTest::testNoDependency,LevenbergMarquardtOptimizerTest::testNonInversible,LevenbergMarquardtOptimizerTest::testOneSet,LevenbergMarquardtOptimizerTest::testQRColumnsPermutation,LevenbergMarquardtOptimizerTest::testRedundantEquations,LevenbergMarquardtOptimizerTest::testTrivial,LevenbergMarquardtOptimizerTest::testTwoSets,MinpackTest::testMinpackBard,MinpackTest::testMinpackBox3Dimensional,MinpackTest::testMinpackBrownAlmostLinear,MinpackTest::testMinpackBrownDennis,MinpackTest::testMinpackChebyquad,MinpackTest::testMinpackFreudensteinRoth,MinpackTest::testMinpackHelicalValley,MinpackTest::testMinpackJennrichSampson,MinpackTest::testMinpackKowalikOsborne,MinpackTest::testMinpackLinearFullRank,MinpackTest::testMinpackLinearRank1,MinpackTest::testMinpackLinearRank1ZeroColsAndRows,MinpackTest::testMinpackMeyer,MinpackTest::testMinpackOsborne1,MinpackTest::testMinpackOsborne2,MinpackTest::testMinpackPowellSingular,MinpackTest::testMinpackRosenbrok,MinpackTest::testMinpackWatson,
LevenbergMarquardtOptimizerTest::testCircleFitting ,0,1069,133,199,100,88,90,90,153,196,98,93,94,99,113,203,105,128,344,90,120,96,104,122,88,134,134,134,99,104,101,96,109,283,
LevenbergMarquardtOptimizerTest::testCircleFittingBadInit ,1069,0,1157,931,1094,1071,1118,1073,996,970,1084,1080,1087,1091,1131,966,1126,1151,859,1071,1036,1107,1125,1145,1075,1158,1158,1158,1117,1131,1088,1116,1133,880,
LevenbergMarquardtOptimizerTest::testControlParameters ,133,1157,0,268,81,109,59,104,219,260,99,103,88,83,33,266,38,12,393,93,149,55,43,16,91,9,9,9,47,33,78,50,30,336,
LevenbergMarquardtOptimizerTest::testIllConditioned ,199,931,268,0,197,179,222,173,137,143,187,180,193,194,236,140,230,258,247,177,169,213,228,253,177,267,267,267,221,237,209,219,239,179,
LevenbergMarquardtOptimizerTest::testInconsistentEquations ,100,1094,81,197,0,50,47,41,154,196,28,34,16,5,55,201,47,72,347,50,106,30,47,66,46,80,80,80,39,51,51,45,52,284,
LevenbergMarquardtOptimizerTest::testInconsistentSizes ,88,1071,109,179,50,0,65,55,141,178,55,56,49,49,80,184,77,100,339,65,103,55,71,94,64,108,108,108,68,80,70,67,80,274,
LevenbergMarquardtOptimizerTest::testMath199 ,90,1118,59,222,47,65,0,61,168,207,53,54,51,49,41,213,27,50,354,62,114,34,25,46,56,58,58,58,31,27,50,24,38,294,
LevenbergMarquardtOptimizerTest::testMoreEstimatedParametersSimple ,90,1073,104,173,41,55,61,0,125,164,34,34,45,42,79,170,68,94,323,32,95,54,64,89,29,103,103,103,57,73,53,59,76,259,
LevenbergMarquardtOptimizerTest::testMoreEstimatedParametersUnsorted ,153,996,219,137,154,141,168,125,0,69,140,133,151,152,194,71,185,212,268,134,129,170,181,207,134,218,218,218,176,190,156,174,194,197,
LevenbergMarquardtOptimizerTest::testNoDependency ,196,970,260,143,196,178,207,164,69,0,178,174,191,194,234,31,227,253,247,172,157,209,221,248,173,260,260,260,217,231,192,215,236,178,
LevenbergMarquardtOptimizerTest::testNonInversible ,98,1084,99,187,28,55,53,34,140,178,0,14,31,30,70,180,61,89,335,46,100,48,61,84,43,98,98,98,52,68,54,59,69,272,
