:,CMAESOptimizerTest::testAckley,CMAESOptimizerTest::testBoundariesDimensionMismatch,CMAESOptimizerTest::testCigTab,CMAESOptimizerTest::testCigar,CMAESOptimizerTest::testCigarWithBoundaries,CMAESOptimizerTest::testConstrainedRosen,CMAESOptimizerTest::testDiagonalRosen,CMAESOptimizerTest::testDiffPow,CMAESOptimizerTest::testElliRotated,CMAESOptimizerTest::testEllipse,CMAESOptimizerTest::testFitAccuracyDependsOnBoundary,CMAESOptimizerTest::testInitOutofbounds1,CMAESOptimizerTest::testInitOutofbounds2,CMAESOptimizerTest::testInputSigmaDimensionMismatch,CMAESOptimizerTest::testInputSigmaNegative,CMAESOptimizerTest::testInputSigmaOutOfRange,CMAESOptimizerTest::testMath864,CMAESOptimizerTest::testMaximize,CMAESOptimizerTest::testRastrigin,CMAESOptimizerTest::testRosen,CMAESOptimizerTest::testSphere,CMAESOptimizerTest::testSsDiffPow,CMAESOptimizerTest::testTablet,CMAESOptimizerTest::testTwoAxes,GaussNewtonOptimizerTest::testConstraintsUnsupported,GaussNewtonOptimizerTest::testMaxEvaluations,LevenbergMarquardtOptimizerTest::testBevington,LevenbergMarquardtOptimizerTest::testCircleFitting2,LevenbergMarquardtOptimizerTest::testConstraintsUnsupported,LevenbergMarquardtOptimizerTest::testControlParameters,NonLinearConjugateGradientOptimizerTest::testBoundsUnsupported,NonLinearConjugateGradientOptimizerTest::testCircleFitting,NonLinearConjugateGradientOptimizerTest::testColumnsPermutation,NonLinearConjugateGradientOptimizerTest::testIllConditioned,NonLinearConjugateGradientOptimizerTest::testInconsistentEquations,NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersSimple,NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersUnsorted,NonLinearConjugateGradientOptimizerTest::testNoDependency,NonLinearConjugateGradientOptimizerTest::testNonInversible,NonLinearConjugateGradientOptimizerTest::testOneSet,NonLinearConjugateGradientOptimizerTest::testRedundantEquations,NonLinearConjugateGradientOptimizerTest::testTrivial,NonLinearConjugateGradientOptimizerTest::testTwoSets,PowellOptimizerTest::testBoundsUnsupported,PowellOptimizerTest::testMaximizeQuadratic,PowellOptimizerTest::testQuadratic,PowellOptimizerTest::testRelativeToleranceOnScaledValues,PowellOptimizerTest::testSumSinc,SimplexOptimizerMultiDirectionalTest::testBoundsUnsupported,SimplexOptimizerMultiDirectionalTest::testMath283,SimplexOptimizerMultiDirectionalTest::testMaximize1,SimplexOptimizerMultiDirectionalTest::testMaximize2,SimplexOptimizerMultiDirectionalTest::testMinimize1,SimplexOptimizerMultiDirectionalTest::testMinimize2,SimplexOptimizerMultiDirectionalTest::testPowell,SimplexOptimizerMultiDirectionalTest::testRosenbrock,SimplexOptimizerNelderMeadTest::testBoundsUnsupported,SimplexOptimizerNelderMeadTest::testLeastSquares1,SimplexOptimizerNelderMeadTest::testLeastSquares2,SimplexOptimizerNelderMeadTest::testLeastSquares3,SimplexOptimizerNelderMeadTest::testMaxIterations,SimplexOptimizerNelderMeadTest::testMaximize1,SimplexOptimizerNelderMeadTest::testMaximize2,SimplexOptimizerNelderMeadTest::testMinimize1,SimplexOptimizerNelderMeadTest::testMinimize2,SimplexOptimizerNelderMeadTest::testPowell,SimplexOptimizerNelderMeadTest::testRosenbrock,
CMAESOptimizerTest::testAckley ,0,11,5,5,6,6,11,7,5,5,134,11,11,11,10,11,71,13,6,7,5,7,5,1,56,74,666,51,56,19,55,30,81,264,80,103,202,247,93,101,82,43,246,45,20,20,51,21,58,29,53,55,53,54,49,76,58,79,88,106,37,52,53,52,53,48,75,
CMAESOptimizerTest::testBoundariesDimensionMismatch ,11,0,8,8,7,9,4,12,8,8,138,1,1,3,2,1,74,14,10,6,8,12,8,11,60,77,670,53,60,13,58,33,86,269,85,107,207,251,98,106,88,46,251,48,16,16,55,15,62,33,56,57,56,56,51,80,62,84,93,111,39,55,55,55,55,50,79,
CMAESOptimizerTest::testCigTab ,5,8,17,0,2,10,6,6,0,0,135,8,8,7,6,8,72,11,5,4,2,6,0,4,58,76,668,52,58,14,56,32,83,267,83,105,205,249,96,103,85,44,249,47,16,16,52,16,60,30,54,56,54,55,49,77,60,81,90,108,38,53,54,53,54,48,76,
CMAESOptimizerTest::testCigar ,5,8,0,0,2,10,6,6,0,0,135,8,8,7,6,8,72,11,5,4,2,6,0,4,58,76,668,52,58,14,56,32,83,267,83,105,205,249,96,103,85,44,249,47,16,16,52,16,60,30,54,56,54,55,49,77,60,81,90,108,38,53,54,53,54,48,76,
CMAESOptimizerTest::testCigarWithBoundaries ,6,7,2,2,0,8,8,8,2,2,134,6,6,9,8,6,73,13,7,6,4,8,2,6,58,76,667,52,58,15,56,32,83,267,83,105,204,248,96,103,85,44,248,47,17,17,52,17,60,30,54,56,54,55,49,77,60,81,90,108,38,53,54,53,54,48,76,
CMAESOptimizerTest::testConstrainedRosen ,6,9,10,10,8,0,11,8,10,10,135,8,8,11,10,8,72,16,9,6,8,8,10,6,56,75,666,51,56,20,56,31,82,265,81,104,204,247,95,102,83,44,247,45,21,21,52,21,58,29,53,54,53,53,48,75,58,80,89,107,37,52,52,52,52,48,74,
CMAESOptimizerTest::testDiagonalRosen ,11,4,6,6,8,11,14,11,6,6,139,4,4,3,2,4,75,14,9,5,7,11,6,10,60,78,672,53,60,11,58,33,86,269,86,108,209,253,99,107,87,46,253,48,15,15,54,15,62,32,56,57,56,56,51,80,62,85,94,112,38,55,55,55,55,50,79,
CMAESOptimizerTest::testDiffPow ,7,12,6,6,8,8,11,0,6,6,134,12,12,11,10,12,71,11,7,6,4,0,6,6,58,76,667,52,58,17,56,32,82,267,82,105,204,247,96,103,84,44,247,47,21,21,53,21,60,30,53,56,53,54,50,76,60,80,89,107,38,52,53,52,53,48,75,
CMAESOptimizerTest::testElliRotated ,5,8,0,0,2,10,6,6,0,0,135,8,8,7,6,8,72,11,5,4,2,6,0,4,58,76,668,52,58,14,56,32,83,267,83,105,205,249,96,103,85,44,249,47,16,16,52,16,60,30,54,56,54,55,49,77,60,81,90,108,38,53,54,53,54,48,76,
CMAESOptimizerTest::testEllipse ,5,8,0,0,2,10,6,6,0,0,135,8,8,7,6,8,72,11,5,4,2,6,0,4,58,76,668,52,58,14,56,32,83,267,83,105,205,249,96,103,85,44,249,47,16,16,52,16,60,30,54,56,54,55,49,77,60,81,90,108,38,53,54,53,54,48,76,
