:,GLSMultipleLinearRegressionTest::cannotAddCovarianceDataThatIsNotSquare,GLSMultipleLinearRegressionTest::cannotAddCovarianceDataWithSampleSizeMismatch,GLSMultipleLinearRegressionTest::cannotAddNullCovarianceData,GLSMultipleLinearRegressionTest::cannotAddNullYSampleData,GLSMultipleLinearRegressionTest::cannotAddSampleDataWithSizeMismatch,GLSMultipleLinearRegressionTest::cannotAddXSampleData,GLSMultipleLinearRegressionTest::notEnoughData,GLSMultipleLinearRegressionTest::testGLSEfficiency,GLSMultipleLinearRegressionTest::testGLSOLSConsistency,GLSMultipleLinearRegressionTest::testNewSample2,GLSMultipleLinearRegressionTest::testYVariance,LineTest::testAbscissa,LineTest::testClosest,LineTest::testContains,LineTest::testDistance,LineTest::testIntersection,LineTest::testLineDistance,LineTest::testOffset,LineTest::testOriginOffset,LineTest::testParallel,LineTest::testPointAt,LineTest::testPointDistance,LineTest::testRevert,LineTest::testSimilar,LineTest::testTransform,LinearInterpolatorTest::testIllegalArguments,LinearInterpolatorTest::testInterpolateLinear,LinearInterpolatorTest::testInterpolateLinearDegenerateThreeSegment,LinearInterpolatorTest::testInterpolateLinearDegenerateTwoSegment,MultipleLinearRegressionAbstractTest::canEstimateRegressandVariance,MultipleLinearRegressionAbstractTest::canEstimateRegressionParameters,MultipleLinearRegressionAbstractTest::canEstimateRegressionParametersVariance,MultipleLinearRegressionAbstractTest::canEstimateResiduals,MultipleLinearRegressionAbstractTest::testNewSample,MultipleLinearRegressionAbstractTest::testNewSampleInsufficientData,MultipleLinearRegressionAbstractTest::testNewSampleInvalidData,MultipleLinearRegressionAbstractTest::testNewSampleNullData,MultipleLinearRegressionAbstractTest::testXSampleDataNull,MultipleLinearRegressionAbstractTest::testYSampleDataNull,NonLinearConjugateGradientOptimizerTest::testBoundsUnsupported,NonLinearConjugateGradientOptimizerTest::testCircleFitting,NonLinearConjugateGradientOptimizerTest::testColumnsPermutation,NonLinearConjugateGradientOptimizerTest::testIllConditioned,NonLinearConjugateGradientOptimizerTest::testInconsistentEquations,NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersSimple,NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersUnsorted,NonLinearConjugateGradientOptimizerTest::testNoDependency,NonLinearConjugateGradientOptimizerTest::testNonInversible,NonLinearConjugateGradientOptimizerTest::testOneSet,NonLinearConjugateGradientOptimizerTest::testRedundantEquations,NonLinearConjugateGradientOptimizerTest::testTrivial,NonLinearConjugateGradientOptimizerTest::testTwoSets,OLSMultipleLinearRegressionTest::cannotAddSampleDataWithSizeMismatch,OLSMultipleLinearRegressionTest::testHat,OLSMultipleLinearRegressionTest::testLongly,OLSMultipleLinearRegressionTest::testNewSample2,OLSMultipleLinearRegressionTest::testNewSampleDataXNull,OLSMultipleLinearRegressionTest::testNewSampleDataYNull,OLSMultipleLinearRegressionTest::testPerfectFit,OLSMultipleLinearRegressionTest::testSwissFertility,OLSMultipleLinearRegressionTest::testWampler1,OLSMultipleLinearRegressionTest::testWampler2,OLSMultipleLinearRegressionTest::testWampler3,OLSMultipleLinearRegressionTest::testWampler4,OLSMultipleLinearRegressionTest::testYVariance,SubLineTest::testEndPoints,SubLineTest::testHalfInfiniteNeg,SubLineTest::testHalfInfinitePos,SubLineTest::testIntersectionBoundaryBoundary,SubLineTest::testIntersectionBoundaryOutside,SubLineTest::testIntersectionInsideBoundary,SubLineTest::testIntersectionInsideInside,SubLineTest::testIntersectionInsideOutside,SubLineTest::testIntersectionOutsideOutside,SubLineTest::testNoEndPoints,SubLineTest::testNoSegments,SubLineTest::testSeveralSegments,
GLSMultipleLinearRegressionTest::cannotAddCovarianceDataThatIsNotSquare ,0,26,72,75,52,73,66,65,72,40,74,66,58,63,70,66,56,70,65,60,70,64,72,69,60,34,37,35,40,73,76,76,76,92,60,60,74,76,76,49,51,43,209,41,67,154,196,55,58,43,46,198,52,311,631,40,73,75,49,1337,244,239,238,238,74,65,60,61,63,64,63,61,64,64,59,70,68,
GLSMultipleLinearRegressionTest::cannotAddCovarianceDataWithSampleSizeMismatch ,26,0,47,50,28,48,43,54,48,41,49,41,56,40,45,43,39,45,42,39,45,41,47,44,38,34,22,41,27,48,51,51,51,106,36,36,50,51,51,42,34,50,229,48,75,172,214,63,68,50,36,214,27,321,642,41,48,50,51,1351,255,251,249,249,49,42,39,40,39,41,39,38,41,41,39,45,43,
GLSMultipleLinearRegressionTest::cannotAddNullCovarianceData ,72,47,0,3,20,1,17,58,15,75,5,10,69,15,6,10,47,6,13,21,10,14,5,7,22,67,52,75,57,4,5,5,5,141,15,15,5,4,4,61,34,88,271,87,110,214,257,101,109,89,45,258,20,345,676,75,1,4,79,1385,288,283,278,278,5,12,21,21,16,12,16,18,12,12,28,8,9,
GLSMultipleLinearRegressionTest::cannotAddNullYSampleData ,75,50,3,0,23,4,19,61,15,78,3,10,69,15,6,10,47,6,13,21,10,14,4,7,22,70,55,78,60,4,3,3,3,144,17,17,2,2,2,64,37,91,274,90,113,217,260,104,112,92,48,261,23,348,679,78,3,1,82,1388,291,286,281,281,3,12,22,22,16,12,16,18,12,12,29,8,9,
GLSMultipleLinearRegressionTest::cannotAddSampleDataWithSizeMismatch ,52,28,20,23,0,21,22,54,22,58,23,20,62,18,20,20,40,20,18,19,20,19,21,20,19,49,37,58,41,23,25,25,25,123,12,12,24,24,24,48,26,68,252,68,93,195,239,82,90,70,35,239,1,332,658,58,21,24,64,1367,271,266,262,262,23,20,21,21,19,19,19,18,19,19,24,21,20,
GLSMultipleLinearRegressionTest::cannotAddXSampleData ,73,48,1,4,21,0,18,59,16,76,5,10,69,15,6,10,47,6,13,21,10,14,5,7,22,68,53,76,58,5,5,5,5,142,16,16,5,4,4,62,35,89,272,88,111,215,258,102,110,90,46,259,21,346,677,76,1,4,80,1386,289,284,279,279,5,13,22,22,16,12,16,18,12,12,29,8,9,
GLSMultipleLinearRegressionTest::notEnoughData ,66,43,17,19,22,18,0,57,18,71,20,20,69,19,20,20,47,20,20,21,20,20,20,18,22,63,48,70,53,18,19,19,19,136,18,18,20,20,20,56,34,82,264,82,105,208,249,96,103,83,41,251,21,343,670,71,18,19,76,1379,285,280,275,275,20,18,19,19,19,19,19,19,19,19,23,20,20,
GLSMultipleLinearRegressionTest::testGLSEfficiency ,65,54,58,61,54,59,57,0,49,66,61,55,60,54,57,56,53,57,56,53,58,57,59,56,55,61,55,69,57,61,62,62,62,121,55,55,61,62,62,54,52,76,251,75,95,192,233,86,95,77,51,234,53,313,641,66,59,61,69,1347,256,251,246,246,61,54,55,54,55,55,55,55,55,55,57,56,55,
GLSMultipleLinearRegressionTest::testGLSOLSConsistency ,72,48,15,15,22,16,18,49,0,74,15,14,67,15,14,14,45,14,14,19,14,14,14,13,20,66,50,72,55,15,15,15,15,133,17,17,15,16,16,58,31,84,268,85,108,206,246,99,105,85,43,247,21,336,667,74,15,15,74,1376,279,274,269,269,15,13,20,20,16,14,16,17,14,14,28,14,14,
GLSMultipleLinearRegressionTest::testNewSample2 ,40,41,75,78,58,76,71,66,74,0,78,72,61,70,74,73,58,74,73,65,75,74,76,72,71,37,41,37,41,77,79,79,79,67,61,61,77,79,79,48,51,46,197,46,49,142,185,42,49,47,50,186,58,296,609,2,76,78,37,1321,231,226,223,223,78,70,67,67,70,71,70,69,71,71,67,73,72,
