:,PolygonsSet_ESTest::test00,PolygonsSet_ESTest::test01,PolygonsSet_ESTest::test02,PolygonsSet_ESTest::test03,PolygonsSet_ESTest::test04,PolygonsSet_ESTest::test05,PolygonsSet_ESTest::test06,PolygonsSet_ESTest::test07,PolygonsSet_ESTest::test08,PolygonsSet_ESTest::test09,PolygonsSet_ESTest::test10,PolygonsSet_ESTest::test11,
PolygonsSet_ESTest::test00 ,0,2,2,2,2,2,2,4,2,2,2,2,
PolygonsSet_ESTest::test01 ,2,0,0,1,1,1,1,4,1,1,1,1,
PolygonsSet_ESTest::test02 ,2,0,0,1,1,1,1,4,1,1,1,1,
PolygonsSet_ESTest::test03 ,2,1,1,0,2,0,0,4,0,0,0,0,
PolygonsSet_ESTest::test04 ,2,1,1,2,0,2,2,4,2,2,2,2,
PolygonsSet_ESTest::test05 ,2,1,1,0,2,0,0,4,0,0,0,0,
PolygonsSet_ESTest::test06 ,2,1,1,0,2,0,0,4,0,0,0,0,
PolygonsSet_ESTest::test07 ,4,4,4,4,4,4,4,0,4,4,4,4,
PolygonsSet_ESTest::test08 ,2,1,1,0,2,0,0,4,0,0,0,0,
PolygonsSet_ESTest::test09 ,2,1,1,0,2,0,0,4,0,0,0,0,
PolygonsSet_ESTest::test10 ,2,1,1,0,2,0,0,4,0,0,0,0,
PolygonsSet_ESTest::test11 ,2,1,1,0,2,0,0,4,0,0,0,0,
