:,SimplexTableau_ESTest::test00,SimplexTableau_ESTest::test01,SimplexTableau_ESTest::test02,SimplexTableau_ESTest::test03,SimplexTableau_ESTest::test04,SimplexTableau_ESTest::test05,SimplexTableau_ESTest::test06,SimplexTableau_ESTest::test07,SimplexTableau_ESTest::test08,SimplexTableau_ESTest::test09,SimplexTableau_ESTest::test10,SimplexTableau_ESTest::test11,SimplexTableau_ESTest::test12,SimplexTableau_ESTest::test13,SimplexTableau_ESTest::test14,SimplexTableau_ESTest::test15,SimplexTableau_ESTest::test16,SimplexTableau_ESTest::test17,SimplexTableau_ESTest::test18,SimplexTableau_ESTest::test19,SimplexTableau_ESTest::test20,SimplexTableau_ESTest::test21,SimplexTableau_ESTest::test22,SimplexTableau_ESTest::test23,SimplexTableau_ESTest::test24,SimplexTableau_ESTest::test25,SimplexTableau_ESTest::test26,
SimplexTableau_ESTest::test00 ,0,9,5,6,5,8,4,5,4,8,5,5,5,5,5,3,4,5,5,4,4,7,5,4,4,4,2,
SimplexTableau_ESTest::test01 ,9,0,10,10,9,8,10,8,10,11,10,9,9,8,9,9,10,10,8,9,9,10,10,10,10,10,9,
SimplexTableau_ESTest::test02 ,5,10,0,8,6,8,6,8,5,8,6,8,8,8,8,7,5,6,8,6,6,6,7,5,4,4,6,
SimplexTableau_ESTest::test03 ,6,10,8,0,7,9,3,2,4,6,5,3,3,2,3,7,4,6,7,6,5,5,6,4,5,5,5,
SimplexTableau_ESTest::test04 ,5,9,6,7,0,9,6,7,6,7,7,7,7,7,7,6,6,7,7,7,6,8,7,5,6,6,5,
SimplexTableau_ESTest::test05 ,8,8,8,9,9,0,9,8,9,11,9,9,9,8,9,9,9,9,8,9,9,9,10,8,8,8,9,
SimplexTableau_ESTest::test06 ,4,10,6,3,6,9,0,5,3,4,4,5,5,5,5,5,2,4,5,4,5,4,5,2,3,3,3,
SimplexTableau_ESTest::test07 ,5,8,8,2,7,8,5,0,4,8,5,1,1,0,1,5,5,6,5,5,3,7,6,5,6,5,4,
SimplexTableau_ESTest::test08 ,4,10,5,4,6,9,3,4,0,7,1,3,3,4,3,4,3,2,4,4,5,6,7,3,4,4,4,
SimplexTableau_ESTest::test09 ,8,11,8,6,7,11,4,8,7,0,8,8,8,8,8,9,6,8,9,8,7,7,8,6,6,6,7,
SimplexTableau_ESTest::test10 ,5,10,6,5,7,9,4,5,1,8,0,4,4,5,4,3,4,1,5,3,6,5,6,4,5,5,5,
SimplexTableau_ESTest::test11 ,5,9,8,3,7,9,5,1,3,8,4,0,0,1,0,5,5,5,5,5,4,7,6,5,6,5,4,
SimplexTableau_ESTest::test12 ,5,9,8,3,7,9,5,1,3,8,4,0,0,1,0,5,5,5,5,5,4,7,6,5,6,5,4,
SimplexTableau_ESTest::test13 ,5,8,8,2,7,8,5,0,4,8,5,1,1,0,1,5,5,6,5,5,3,7,6,5,6,5,4,
SimplexTableau_ESTest::test14 ,5,9,8,3,7,9,5,1,3,8,4,0,0,1,0,5,5,5,5,5,4,7,6,5,6,5,4,
SimplexTableau_ESTest::test15 ,3,9,7,7,6,9,5,5,4,9,3,5,5,5,5,0,5,2,5,3,5,5,3,5,6,6,3,
SimplexTableau_ESTest::test16 ,4,10,5,4,6,9,2,5,3,6,4,5,5,5,5,5,0,4,5,3,5,4,6,1,2,2,2,
SimplexTableau_ESTest::test17 ,5,10,6,6,7,9,4,6,2,8,1,5,5,6,5,2,4,0,5,3,7,4,5,4,5,5,5,
SimplexTableau_ESTest::test18 ,5,8,8,7,7,8,5,5,4,9,5,5,5,5,5,5,5,5,0,5,6,8,7,5,6,6,4,
SimplexTableau_ESTest::test19 ,4,9,6,6,7,9,4,5,4,8,3,5,5,5,5,3,3,3,5,0,5,4,4,3,4,4,3,
SimplexTableau_ESTest::test20 ,4,9,6,5,6,9,5,3,5,7,6,4,4,3,4,5,5,7,6,5,0,5,3,5,5,4,3,
SimplexTableau_ESTest::test21 ,7,10,6,5,8,9,4,7,6,7,5,7,7,7,7,5,4,4,8,4,5,0,2,4,4,3,6,
SimplexTableau_ESTest::test22 ,5,10,7,6,7,10,5,6,7,8,6,6,6,6,6,3,6,5,7,4,3,2,0,6,6,5,4,
SimplexTableau_ESTest::test23 ,4,10,5,4,5,8,2,5,3,6,4,5,5,5,5,5,1,4,5,3,5,4,6,0,2,2,3,
SimplexTableau_ESTest::test24 ,4,10,4,5,6,8,3,6,4,6,5,6,6,6,6,6,2,5,6,4,5,4,6,2,0,1,4,
SimplexTableau_ESTest::test25 ,4,10,4,5,6,8,3,5,4,6,5,5,5,5,5,6,2,5,6,4,4,3,5,2,1,0,4,
SimplexTableau_ESTest::test26 ,2,9,6,5,5,9,3,4,4,7,5,4,4,4,4,3,2,5,4,3,3,6,4,3,4,4,0,
