:,SimplexTableau_ESTest::test00,SimplexTableau_ESTest::test01,SimplexTableau_ESTest::test02,SimplexTableau_ESTest::test03,SimplexTableau_ESTest::test04,SimplexTableau_ESTest::test05,SimplexTableau_ESTest::test06,SimplexTableau_ESTest::test07,SimplexTableau_ESTest::test08,SimplexTableau_ESTest::test09,SimplexTableau_ESTest::test10,SimplexTableau_ESTest::test11,SimplexTableau_ESTest::test12,SimplexTableau_ESTest::test13,SimplexTableau_ESTest::test14,SimplexTableau_ESTest::test15,SimplexTableau_ESTest::test16,SimplexTableau_ESTest::test17,SimplexTableau_ESTest::test18,SimplexTableau_ESTest::test19,SimplexTableau_ESTest::test20,SimplexTableau_ESTest::test21,SimplexTableau_ESTest::test22,SimplexTableau_ESTest::test23,SimplexTableau_ESTest::test24,SimplexTableau_ESTest::test25,
SimplexTableau_ESTest::test00 ,0,11,11,10,11,10,11,9,9,10,9,11,11,11,9,9,11,9,11,12,15,9,11,10,9,8,
SimplexTableau_ESTest::test01 ,11,0,10,7,7,4,10,2,7,2,8,9,9,12,8,4,8,4,10,11,13,7,9,2,5,7,
SimplexTableau_ESTest::test02 ,11,10,0,10,10,9,7,9,7,9,6,8,5,6,8,8,9,10,11,10,14,9,11,10,10,7,
SimplexTableau_ESTest::test03 ,10,7,10,0,2,4,10,7,7,7,8,8,9,11,6,5,7,7,9,10,15,8,9,8,8,7,
SimplexTableau_ESTest::test04 ,11,7,10,2,0,4,9,7,6,6,8,8,8,11,6,5,7,7,9,10,14,7,9,8,8,7,
SimplexTableau_ESTest::test05 ,10,4,9,4,4,0,9,5,7,5,8,9,9,11,4,4,8,4,9,11,13,6,8,6,5,6,
SimplexTableau_ESTest::test06 ,11,10,7,10,9,9,0,10,8,9,7,9,2,2,10,10,10,9,11,12,14,10,10,9,10,10,
SimplexTableau_ESTest::test07 ,9,2,9,7,7,5,10,0,6,1,7,9,9,11,6,4,7,5,9,11,13,5,8,2,5,5,
SimplexTableau_ESTest::test08 ,9,7,7,7,6,7,8,6,0,5,7,5,7,10,7,6,7,7,9,11,14,8,9,7,7,7,
SimplexTableau_ESTest::test09 ,10,2,9,7,6,5,9,1,5,0,7,9,8,11,6,3,7,4,9,11,13,6,8,2,4,5,
SimplexTableau_ESTest::test10 ,9,8,6,8,8,8,7,7,7,7,0,7,5,8,9,7,7,9,9,13,15,9,9,8,9,8,
SimplexTableau_ESTest::test11 ,11,9,8,8,8,9,9,9,5,9,7,0,8,10,11,9,8,10,9,12,13,10,9,10,10,10,
SimplexTableau_ESTest::test12 ,11,9,5,9,8,9,2,9,7,8,5,8,0,4,9,8,8,9,10,12,15,10,10,9,9,8,
SimplexTableau_ESTest::test13 ,11,12,6,11,11,11,2,11,10,11,8,10,4,0,10,11,11,11,12,12,14,12,11,11,11,11,
SimplexTableau_ESTest::test14 ,9,8,8,6,6,4,10,6,7,6,9,11,9,10,0,5,8,4,8,8,12,3,7,6,5,2,
SimplexTableau_ESTest::test15 ,9,4,8,5,5,4,10,4,6,3,7,9,8,11,5,0,7,2,8,9,13,6,8,3,3,6,
SimplexTableau_ESTest::test16 ,11,8,9,7,7,8,10,7,7,7,7,8,8,11,8,7,0,8,5,13,11,8,5,8,8,8,
SimplexTableau_ESTest::test17 ,9,4,10,7,7,4,9,5,7,4,9,10,9,11,4,2,8,0,9,9,11,6,8,3,1,6,
SimplexTableau_ESTest::test18 ,11,10,11,9,9,9,11,9,9,9,9,9,10,12,8,8,5,9,0,11,6,9,1,8,9,9,
SimplexTableau_ESTest::test19 ,12,11,10,10,10,11,12,11,11,11,13,12,12,12,8,9,13,9,11,0,14,8,12,11,8,7,
SimplexTableau_ESTest::test20 ,15,13,14,15,14,13,14,13,14,13,15,13,15,14,12,13,11,11,6,14,0,10,6,12,10,12,
SimplexTableau_ESTest::test21 ,9,7,9,8,7,6,10,5,8,6,9,10,10,12,3,6,8,6,9,8,10,0,8,6,5,3,
SimplexTableau_ESTest::test22 ,11,9,11,9,9,8,10,8,9,8,9,9,10,11,7,8,5,8,1,12,6,8,0,7,8,8,
SimplexTableau_ESTest::test23 ,10,2,10,8,8,6,9,2,7,2,8,10,9,11,6,3,8,3,8,11,12,6,7,0,4,7,
SimplexTableau_ESTest::test24 ,9,5,10,8,8,5,10,5,7,4,9,10,9,11,5,3,8,1,9,8,10,5,8,4,0,5,
SimplexTableau_ESTest::test25 ,8,7,7,7,7,6,10,5,7,5,8,10,8,11,2,6,8,6,9,7,12,3,8,7,5,0,
