:,GaussianFitter_ESTest::test00,GaussianFitter_ESTest::test01,GaussianFitter_ESTest::test02,GaussianFitter_ESTest::test03,GaussianFitter_ESTest::test04,GaussianFitter_ESTest::test05,GaussianFitter_ESTest::test06,GaussianFitter_ESTest::test07,GaussianFitter_ESTest::test08,GaussianFitter_ESTest::test09,GaussianFitter_ESTest::test10,
GaussianFitter_ESTest::test00 ,0,3,2,26,22,22,22,11,11,7,8,
GaussianFitter_ESTest::test01 ,3,0,5,24,19,20,19,11,10,7,8,
GaussianFitter_ESTest::test02 ,2,5,0,27,22,22,22,12,12,8,9,
GaussianFitter_ESTest::test03 ,26,24,27,0,7,9,7,17,19,22,22,
GaussianFitter_ESTest::test04 ,22,19,22,7,0,2,0,18,18,17,18,
GaussianFitter_ESTest::test05 ,22,20,22,9,2,0,2,19,18,15,17,
GaussianFitter_ESTest::test06 ,22,19,22,7,0,2,0,18,18,17,18,
GaussianFitter_ESTest::test07 ,11,11,12,17,18,19,18,0,2,7,8,
GaussianFitter_ESTest::test08 ,11,10,12,19,18,18,18,2,0,7,8,
GaussianFitter_ESTest::test09 ,7,7,8,22,17,15,17,7,7,0,2,
GaussianFitter_ESTest::test10 ,8,8,9,22,18,17,18,8,8,2,0,
