:,MultiStartUnivariateRealOptimizer_ESTest::test00,MultiStartUnivariateRealOptimizer_ESTest::test01,MultiStartUnivariateRealOptimizer_ESTest::test02,MultiStartUnivariateRealOptimizer_ESTest::test03,MultiStartUnivariateRealOptimizer_ESTest::test04,MultiStartUnivariateRealOptimizer_ESTest::test05,MultiStartUnivariateRealOptimizer_ESTest::test06,MultiStartUnivariateRealOptimizer_ESTest::test07,MultiStartUnivariateRealOptimizer_ESTest::test08,MultiStartUnivariateRealOptimizer_ESTest::test09,MultiStartUnivariateRealOptimizer_ESTest::test10,MultiStartUnivariateRealOptimizer_ESTest::test11,MultiStartUnivariateRealOptimizer_ESTest::test12,MultiStartUnivariateRealOptimizer_ESTest::test13,MultiStartUnivariateRealOptimizer_ESTest::test14,MultiStartUnivariateRealOptimizer_ESTest::test15,MultiStartUnivariateRealOptimizer_ESTest::test16,
MultiStartUnivariateRealOptimizer_ESTest::test00 ,0,6,7,7,7,5,6,7,86,82,2,7,83,6,84,6,84,
MultiStartUnivariateRealOptimizer_ESTest::test01 ,6,0,9,8,9,4,8,8,87,82,5,8,82,7,85,7,83,
MultiStartUnivariateRealOptimizer_ESTest::test02 ,7,9,0,3,2,6,3,3,87,85,6,3,84,4,89,4,84,
MultiStartUnivariateRealOptimizer_ESTest::test03 ,7,8,3,0,2,4,3,0,88,85,6,1,85,3,89,3,85,
MultiStartUnivariateRealOptimizer_ESTest::test04 ,7,9,2,2,0,6,2,2,87,84,6,2,84,4,88,4,84,
MultiStartUnivariateRealOptimizer_ESTest::test05 ,5,4,6,4,6,0,7,4,88,84,4,5,84,6,86,6,85,
MultiStartUnivariateRealOptimizer_ESTest::test06 ,6,8,3,3,2,7,0,3,87,84,4,3,84,3,88,3,84,
MultiStartUnivariateRealOptimizer_ESTest::test07 ,7,8,3,0,2,4,3,0,88,85,6,1,85,3,89,3,85,
MultiStartUnivariateRealOptimizer_ESTest::test08 ,86,87,87,88,87,88,87,88,0,27,88,88,34,87,13,87,36,
MultiStartUnivariateRealOptimizer_ESTest::test09 ,82,82,85,85,84,84,84,85,27,0,84,84,26,83,28,83,21,
MultiStartUnivariateRealOptimizer_ESTest::test10 ,2,5,6,6,6,4,4,6,88,84,0,6,84,5,85,5,85,
MultiStartUnivariateRealOptimizer_ESTest::test11 ,7,8,3,1,2,5,3,1,88,84,6,0,85,3,89,3,85,
MultiStartUnivariateRealOptimizer_ESTest::test12 ,83,82,84,85,84,84,84,85,34,26,84,85,0,83,32,82,23,
MultiStartUnivariateRealOptimizer_ESTest::test13 ,6,7,4,3,4,6,3,3,87,83,5,3,83,0,88,1,83,
MultiStartUnivariateRealOptimizer_ESTest::test14 ,84,85,89,89,88,86,88,89,13,28,85,89,32,88,0,87,40,
MultiStartUnivariateRealOptimizer_ESTest::test15 ,6,7,4,3,4,6,3,3,87,83,5,3,82,1,87,0,83,
MultiStartUnivariateRealOptimizer_ESTest::test16 ,84,83,84,85,84,85,84,85,36,21,85,85,23,83,40,83,0,
