:,BaseOptimizer_ESTest::test0,BaseOptimizer_ESTest::test1,BaseOptimizer_ESTest::test2,BaseOptimizer_ESTest::test3,BaseOptimizer_ESTest::test4,BaseOptimizer_ESTest::test5,BaseOptimizer_ESTest::test6,BaseOptimizer_ESTest::test7,CMAESOptimizer_ESTest::test00,CMAESOptimizer_ESTest::test01,CMAESOptimizer_ESTest::test02,CMAESOptimizer_ESTest::test03,CMAESOptimizer_ESTest::test04,CMAESOptimizer_ESTest::test05,CMAESOptimizer_ESTest::test06,CMAESOptimizer_ESTest::test07,CMAESOptimizer_ESTest::test08,CMAESOptimizer_ESTest::test09,CMAESOptimizer_ESTest::test10,GaussNewtonOptimizer_ESTest::test0,GaussNewtonOptimizer_ESTest::test1,LevenbergMarquardtOptimizer_ESTest::test0,LevenbergMarquardtOptimizer_ESTest::test1,LevenbergMarquardtOptimizer_ESTest::test2,NonLinearConjugateGradientOptimizer_ESTest::test0,NonLinearConjugateGradientOptimizer_ESTest::test1,NonLinearConjugateGradientOptimizer_ESTest::test2,NonLinearConjugateGradientOptimizer_ESTest::test3,NonLinearConjugateGradientOptimizer_ESTest::test4,PowellOptimizer_ESTest::test0,PowellOptimizer_ESTest::test1,PowellOptimizer_ESTest::test2,PowellOptimizer_ESTest::test3,SimplexOptimizer_ESTest::test0,SimplexOptimizer_ESTest::test1,SimplexOptimizer_ESTest::test2,
BaseOptimizer_ESTest::test0 ,0,0,1,2,0,4,7,6,18,12,6,4,15,9,7,3,21,19,25,4,2,2,2,2,2,4,7,4,6,8,6,3,3,3,30,12,
BaseOptimizer_ESTest::test1 ,0,0,1,2,0,4,7,6,18,12,6,4,15,9,7,3,21,19,25,4,2,2,2,2,2,4,7,4,6,8,6,3,3,3,30,12,
BaseOptimizer_ESTest::test2 ,1,1,0,2,1,4,7,6,18,12,6,4,16,9,7,2,21,19,26,4,2,2,1,1,2,4,7,4,6,8,6,2,2,3,30,12,
BaseOptimizer_ESTest::test3 ,2,2,2,0,2,3,5,4,17,11,5,4,16,8,6,3,19,17,24,3,1,2,2,1,2,5,5,3,4,6,4,3,3,2,28,10,
BaseOptimizer_ESTest::test4 ,0,0,1,2,0,4,7,6,18,12,6,4,15,9,7,3,21,19,25,4,2,2,2,2,2,4,7,4,6,8,6,3,3,3,30,12,
BaseOptimizer_ESTest::test5 ,4,4,4,3,4,0,5,2,18,11,4,3,15,7,7,5,19,17,24,1,3,3,3,3,4,5,5,3,4,7,5,5,5,3,28,10,
BaseOptimizer_ESTest::test6 ,7,7,7,5,7,5,0,3,15,10,3,4,14,8,8,7,15,13,20,6,6,7,7,6,6,7,4,6,3,5,4,7,7,6,25,8,
BaseOptimizer_ESTest::test7 ,6,6,6,4,6,2,3,0,17,10,4,5,14,7,7,7,17,15,22,3,5,5,5,5,6,6,4,5,2,5,3,7,7,5,26,9,
CMAESOptimizer_ESTest::test00 ,18,18,18,17,18,18,15,17,0,12,15,16,14,13,18,18,18,17,20,17,18,18,18,18,17,18,16,16,17,16,16,18,18,16,25,13,
CMAESOptimizer_ESTest::test01 ,12,12,12,11,12,11,10,10,12,0,11,11,12,8,11,12,18,15,21,11,12,11,11,12,10,12,10,12,11,11,11,12,12,12,28,11,
CMAESOptimizer_ESTest::test02 ,6,6,6,5,6,4,3,4,15,11,0,2,15,9,7,6,15,13,21,5,5,6,6,5,5,6,5,4,4,7,5,6,6,4,27,8,
