:,RegressionTest0::test01,RegressionTest0::test02,RegressionTest0::test03,RegressionTest0::test04,RegressionTest0::test05,RegressionTest0::test06,RegressionTest0::test07,RegressionTest0::test08,RegressionTest0::test09,RegressionTest0::test10,RegressionTest0::test11,RegressionTest0::test12,RegressionTest0::test13,RegressionTest0::test14,RegressionTest0::test15,RegressionTest0::test16,RegressionTest0::test17,RegressionTest0::test18,RegressionTest0::test19,RegressionTest0::test20,RegressionTest0::test21,RegressionTest0::test22,RegressionTest0::test23,RegressionTest0::test24,RegressionTest0::test25,RegressionTest0::test26,RegressionTest0::test27,RegressionTest0::test28,RegressionTest0::test29,RegressionTest0::test30,RegressionTest0::test31,RegressionTest0::test32,RegressionTest0::test33,RegressionTest0::test34,
RegressionTest0::test01 ,0,6,8,7,4,1,7,7,9,0,10,7,10,10,10,10,5,6,9,6,6,4,0,6,6,10,8,7,7,8,8,0,10,6,
RegressionTest0::test02 ,6,0,4,6,7,6,10,5,15,6,8,6,7,7,8,8,11,8,7,4,5,2,6,4,4,7,12,10,2,10,4,6,8,6,
RegressionTest0::test03 ,8,4,0,7,7,7,10,7,16,8,10,8,10,10,10,10,12,10,9,8,8,4,8,8,8,10,11,10,4,10,3,8,10,8,
RegressionTest0::test04 ,7,6,7,0,4,7,14,4,16,7,5,1,5,5,5,4,12,9,5,2,2,5,7,2,2,5,15,14,8,14,8,7,5,1,
RegressionTest0::test05 ,4,7,7,4,0,5,11,6,12,4,8,4,8,8,8,7,9,6,8,4,4,5,4,4,4,8,11,11,8,10,4,4,8,3,
RegressionTest0::test06 ,1,6,7,7,5,0,8,8,10,1,11,8,11,11,11,11,6,6,10,7,7,5,1,7,7,11,8,8,7,8,8,1,11,7,
RegressionTest0::test07 ,7,10,10,14,11,8,0,13,6,7,17,14,17,17,17,17,4,11,16,13,13,11,7,13,13,17,8,0,8,8,7,7,17,13,
RegressionTest0::test08 ,7,5,7,4,6,8,13,0,14,7,7,5,6,5,7,7,10,6,7,3,4,6,7,3,3,5,14,13,6,14,8,7,7,5,
RegressionTest0::test09 ,9,15,16,16,12,10,6,14,0,9,19,16,19,19,19,19,4,11,18,15,15,13,9,15,15,19,9,6,14,13,13,9,19,15,
RegressionTest0::test10 ,0,6,8,7,4,1,7,7,9,0,10,7,10,10,10,10,5,6,9,6,6,4,0,6,6,10,8,7,7,8,8,0,10,6,
RegressionTest0::test11 ,10,8,10,5,8,11,17,7,19,10,0,4,2,2,2,3,15,12,2,5,4,6,10,5,5,2,18,17,10,17,10,10,2,5,
RegressionTest0::test12 ,7,6,8,1,4,8,14,5,16,7,4,0,4,4,4,3,12,9,4,2,2,4,7,2,2,4,15,14,8,14,7,7,4,1,
RegressionTest0::test13 ,10,7,10,5,8,11,17,6,19,10,2,4,0,1,2,3,15,11,2,4,5,6,10,4,4,1,18,17,9,17,10,10,2,5,
RegressionTest0::test14 ,10,7,10,5,8,11,17,5,19,10,2,4,1,0,2,3,15,11,2,4,5,6,10,4,4,0,18,17,9,17,10,10,2,5,
RegressionTest0::test15 ,10,8,10,5,8,11,17,7,19,10,2,4,2,2,0,2,15,12,1,5,5,6,10,5,5,2,18,17,10,17,10,10,1,5,
RegressionTest0::test16 ,10,8,10,4,7,11,17,7,19,10,3,3,3,3,2,0,15,12,2,5,5,6,10,5,5,3,18,17,10,17,10,10,2,4,
RegressionTest0::test17 ,5,11,12,12,9,6,4,10,4,5,15,12,15,15,15,15,0,9,14,11,11,9,5,11,11,15,6,4,10,10,10,5,15,11,
RegressionTest0::test18 ,6,8,10,9,6,6,11,6,11,6,12,9,11,11,12,12,9,0,12,7,8,10,6,7,7,11,11,11,7,12,10,6,12,8,
RegressionTest0::test19 ,9,7,9,5,8,10,16,7,18,9,2,4,2,2,1,2,14,12,0,5,5,5,9,5,5,2,17,16,9,16,9,9,1,5,
RegressionTest0::test20 ,6,4,8,2,4,7,13,3,15,6,5,2,4,4,5,5,11,7,5,0,1,4,6,0,0,4,14,13,6,14,8,6,5,2,
RegressionTest0::test21 ,6,5,8,2,4,7,13,4,15,6,4,2,5,5,5,5,11,8,5,1,0,4,6,1,1,5,14,13,7,14,8,6,5,2,
RegressionTest0::test22 ,4,2,4,5,5,5,11,6,13,4,6,4,6,6,6,6,9,10,5,4,4,0,4,4,4,6,12,11,4,11,4,4,6,5,
RegressionTest0::test23 ,0,6,8,7,4,1,7,7,9,0,10,7,10,10,10,10,5,6,9,6,6,4,0,6,6,10,8,7,7,8,8,0,10,6,
RegressionTest0::test24 ,6,4,8,2,4,7,13,3,15,6,5,2,4,4,5,5,11,7,5,0,1,4,6,0,0,4,14,13,6,14,8,6,5,2,
RegressionTest0::test25 ,6,4,8,2,4,7,13,3,15,6,5,2,4,4,5,5,11,7,5,0,1,4,6,0,0,4,14,13,6,14,8,6,5,2,
RegressionTest0::test26 ,10,7,10,5,8,11,17,5,19,10,2,4,1,0,2,3,15,11,2,4,5,6,10,4,4,0,18,17,9,17,10,10,2,5,
RegressionTest0::test27 ,8,12,11,15,11,8,8,14,9,8,18,15,18,18,18,18,6,11,17,14,14,12,8,14,14,18,0,8,12,5,8,8,18,14,
RegressionTest0::test28 ,7,10,10,14,11,8,0,13,6,7,17,14,17,17,17,17,4,11,16,13,13,11,7,13,13,17,8,0,8,8,7,7,17,13,
RegressionTest0::test29 ,7,2,4,8,8,7,8,6,14,7,10,8,9,9,10,10,10,7,9,6,7,4,7,6,6,9,12,8,0,8,4,7,10,8,
RegressionTest0::test30 ,8,10,10,14,10,8,8,14,13,8,17,14,17,17,17,17,10,12,16,14,14,11,8,14,14,17,5,8,8,0,7,8,17,13,
RegressionTest0::test31 ,8,4,3,8,4,8,7,8,13,8,10,7,10,10,10,10,10,10,9,8,8,4,8,8,8,10,8,7,4,7,0,8,10,7,
RegressionTest0::test32 ,0,6,8,7,4,1,7,7,9,0,10,7,10,10,10,10,5,6,9,6,6,4,0,6,6,10,8,7,7,8,8,0,10,6,
RegressionTest0::test33 ,10,8,10,5,8,11,17,7,19,10,2,4,2,2,1,2,15,12,1,5,5,6,10,5,5,2,18,17,10,17,10,10,0,5,
RegressionTest0::test34 ,6,6,8,1,3,7,13,5,15,6,5,1,5,5,5,4,11,8,5,2,2,5,6,2,2,5,14,13,8,13,7,6,5,0,
