TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.9703504043126685,371,360
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.9693593314763231,359,346
org.apache.commons.lang3.text.translate.LookupTranslator,BRANCH,1.0,14,14
org.apache.commons.lang3.LocaleUtils,BRANCH,1.0,79,63
org.apache.commons.lang3.text.translate.CharSequenceTranslator,BRANCH,1.0,15,15
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.979328165374677,387,379
org.apache.commons.lang3.time.FastDatePrinter,BRANCH,0.864406779661017,354,305
org.apache.commons.lang3.time.FastDateParser,BRANCH,0.8130311614730878,353,274
org.apache.commons.lang3.time.FastDateParser,BRANCH,0.8005698005698005,351,268
org.apache.commons.lang3.RandomStringUtils,BRANCH,0.9538461538461539,65,62
org.apache.commons.lang3.RandomStringUtils,BRANCH,1.0,63,63
org.apache.commons.lang3.SerializationUtils,BRANCH,0.68,25,17
org.apache.commons.lang3.StringUtils,BRANCH,0.9653716216216216,1184,1141
org.apache.commons.lang3.reflect.TypeUtils,BRANCH,0.46598639455782315,294,137
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.9765013054830287,383,374
org.apache.commons.lang3.text.translate.CharSequenceTranslator,BRANCH,1.0,15,15
org.apache.commons.lang3.time.FastDateFormat,BRANCH,0.8716577540106952,374,317
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,BRANCH,1.0,39,39
org.apache.commons.lang3.StringUtils,BRANCH,0.9644970414201184,1183,1141
org.apache.commons.lang3.time.DateUtils,BRANCH,0.9713375796178344,314,305
org.apache.commons.lang3.math.Fraction,BRANCH,0.9368932038834952,206,189
org.apache.commons.lang3.text.ExtendedMessageFormat,BRANCH,0.7132352941176471,136,97
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.9736147757255936,379,369
org.apache.commons.lang3.text.translate.EntityArrays,BRANCH,1.0,13,13
org.apache.commons.lang3.time.FastDateFormat,BRANCH,0.8648648648648649,444,383
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.9761273209549072,377,368
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,BRANCH,0.9411764705882353,17,16
org.apache.commons.lang3.SystemUtils,BRANCH,0.734375,64,47
org.apache.commons.lang3.StringUtils,BRANCH,0.9662522202486679,1126,1086
org.apache.commons.lang3.StringUtils,BRANCH,0.9862888482632541,1094,1077
org.apache.commons.lang3.builder.HashCodeBuilder,BRANCH,0.9243697478991597,119,103
org.apache.commons.lang3.ClassUtils,BRANCH,0.9437229437229437,231,218
org.apache.commons.lang3.builder.ToStringStyle,BRANCH,0.8523489932885906,298,230
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.9758713136729222,373,364
org.apache.commons.lang3.time.FastDateFormat,BRANCH,0.8716216216216216,444,381
org.apache.commons.lang3.StringUtils,BRANCH,0.9932950191570882,1044,1036
org.apache.commons.lang.StringUtils,BRANCH,0.9835907335907336,1036,1018
org.apache.commons.lang.ClassUtils,BRANCH,0.9432314410480349,229,216
org.apache.commons.lang.Entities,BRANCH,0.967741935483871,93,82
org.apache.commons.lang.text.ExtendedMessageFormat,BRANCH,0.6910569105691057,123,85
org.apache.commons.lang.NumberUtils,BRANCH,0.9623430962343096,239,230
